feature,grupo,janela,importance
dist_sma_63d,dist_sma,63d,0.029139133
z_alpha_5d,z_alpha,5d,0.028914077
z_alpha_14d,z_alpha,14d,0.026706658
dist_sma_5d,dist_sma,5d,0.024147132
spread_retorno_5d,spread_retorno,5d,0.023606407
z_mercado_21d,z_mercado,21d,0.023386188
spread_retorno_14d,spread_retorno,14d,0.02245815
beta_63d,beta,63d,0.022196278
z_alpha_63d,z_alpha,63d,0.021912426
spread_retorno_42d,spread_retorno,42d,0.021501297
z_alpha_21d,z_alpha,21d,0.020844648
dist_sma_14d,dist_sma,14d,0.02034017
z_mercado_63d,z_mercado,63d,0.019922605
spread_volratio_5d,spread_volratio,5d,0.019920552
z_mercado_42d,z_mercado,42d,0.019846693
spread_vol_42d,spread_vol,42d,0.019797169
risco_mercado_42d,risco_mercado,42d,0.019783968
risco_mercado_5d,risco_mercado,5d,0.019634748
beta_42d,beta,42d,0.019438267
beta_14d,beta,14d,0.019218542
dist_sma_3d,dist_sma,3d,0.019162506
trend_mercado_63d,trend_mercado,63d,0.018970096
z_mercado_14d,z_mercado,14d,0.018710842
trend_mercado_21d,trend_mercado,21d,0.018591668
trend_mercado_5d,trend_mercado,5d,0.018495088
spread_volratio_42d,spread_volratio,42d,0.018448526
spread_retorno_63d,spread_retorno,63d,0.018439012
beta_5d,beta,5d,0.018419685
risco_mercado_14d,risco_mercado,14d,0.018308278
z_mercado_3d,z_mercado,3d,0.018074723
z_alpha_3d,z_alpha,3d,0.017887734
spread_vol_3d,spread_vol,3d,0.017745277
spread_vol_14d,spread_vol,14d,0.017516684
z_alpha_42d,z_alpha,42d,0.017325904
spread_volratio_3d,spread_volratio,3d,0.017083252
spread_volratio_63d,spread_volratio,63d,0.016583636
trend_mercado_14d,trend_mercado,14d,0.016555322
beta_21d,beta,21d,0.016466195
beta_3d,beta,3d,0.016437449
risco_mercado_63d,risco_mercado,63d,0.01638704
risco_mercado_3d,risco_mercado,3d,0.01600873
z_mercado_5d,z_mercado,5d,0.015847737
spread_vol_21d,spread_vol,21d,0.01573273
spread_volratio_21d,spread_volratio,21d,0.015670097
risco_mercado_21d,risco_mercado,21d,0.015668068
dist_sma_21d,dist_sma,21d,0.014959941
trend_mercado_3d,trend_mercado,3d,0.014856021
trend_mercado_42d,trend_mercado,42d,0.014703347
spread_retorno_21d,spread_retorno,21d,0.014574251
dist_sma_42d,dist_sma,42d,0.01378655
spread_vol_5d,spread_vol,5d,0.0137039935
spread_volratio_14d,spread_volratio,14d,0.013589995
spread_retorno_3d,spread_retorno,3d,0.013416429
spread_vol_63d,spread_vol,63d,0.009157966
