date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,BBAS3,25.85475,0,0.49730378,0,1
2024-08-30,BBAS3,25.690308,1,0.5189819,1,1
2024-09-02,BBAS3,25.964386,1,0.49730378,0,0
2024-09-03,BBAS3,26.201921,0,0.49730378,0,1
2024-09-04,BBAS3,26.485132,1,0.5139187,1,1
2024-09-05,BBAS3,26.72267,0,0.48751917,0,1
2024-09-06,BBAS3,26.284145,1,0.5139187,1,1
2024-09-09,BBAS3,26.613035,0,0.5245348,1,0
2024-09-10,BBAS3,26.220194,0,0.48619977,0,1
2024-09-11,BBAS3,26.229328,0,0.48161167,0,1
2024-09-12,BBAS3,25.959524,1,0.4543736,0,0
2024-09-13,BBAS3,26.134247,1,0.48269725,0,0
2024-09-16,BBAS3,26.27218,0,0.48269725,0,1
2024-09-17,BBAS3,26.10666,1,0.51560384,1,1
2024-09-18,BBAS3,25.977917,0,0.5426736,1,0
2024-09-19,BBAS3,25.665264,1,0.5204621,1,1
2024-09-20,BBAS3,25.288239,1,0.529377,1,1
2024-09-23,BBAS3,25.196281,0,0.5163558,1,0
2024-09-24,BBAS3,25.177889,1,0.49786818,0,0
2024-09-25,BBAS3,25.104322,0,0.4625113,0,1
2024-09-26,BBAS3,25.269846,0,0.49388546,0,1
2024-09-27,BBAS3,25.058346,1,0.5189819,1,1
2024-09-30,BBAS3,24.993977,0,0.5043049,1,0
2024-10-01,BBAS3,24.90202,0,0.5229579,1,0
2024-10-02,BBAS3,24.966387,1,0.5189819,1,1
2024-10-03,BBAS3,24.736496,0,0.5043049,1,0
2024-10-04,BBAS3,24.699715,1,0.49388546,0,0
2024-10-07,BBAS3,24.819256,1,0.5043049,1,1
2024-10-08,BBAS3,24.81006,0,0.5357974,1,0
2024-10-09,BBAS3,24.304296,0,0.5044193,1,0
2024-10-10,BBAS3,24.092794,1,0.53423065,1,1
2024-10-11,BBAS3,24.21234,0,0.5785977,1,0
2024-10-14,BBAS3,24.38706,0,0.53423065,1,0
2024-10-15,BBAS3,24.341078,1,0.53423065,1,1
2024-10-16,BBAS3,24.607754,1,0.51261973,1,1
2024-10-17,BBAS3,24.57097,1,0.49399486,0,0
2024-10-18,BBAS3,24.543388,0,0.529377,1,0
2024-10-21,BBAS3,24.479015,0,0.5204621,1,0
2024-10-22,BBAS3,24.184753,1,0.5204621,1,1
2024-10-23,BBAS3,24.21234,0,0.5357974,1,0
2024-10-24,BBAS3,24.239927,1,0.5158545,1,1
2024-10-25,BBAS3,24.249125,0,0.48754922,0,1
2024-10-28,BBAS3,24.20314,0,0.55264306,1,0
2024-10-29,BBAS3,24.06521,1,0.5296358,1,1
2024-10-30,BBAS3,24.249125,1,0.48754922,0,0
2024-10-31,BBAS3,24.21234,1,0.529377,1,1
2024-11-01,BBAS3,23.991646,0,0.5253487,1,0
2024-11-04,BBAS3,24.129578,0,0.51917285,1,0
2024-11-05,BBAS3,24.138773,1,0.5296358,1,1
2024-11-06,BBAS3,24.184753,1,0.5553202,1,1
2024-11-07,BBAS3,24.083601,1,0.49399486,0,0
2024-11-08,BBAS3,23.899685,1,0.5357974,1,1
2024-11-11,BBAS3,23.91808,0,0.5253487,1,0
2024-11-12,BBAS3,23.862904,0,0.48271197,0,1
2024-11-13,BBAS3,23.862904,0,0.49319375,0,1
2024-11-14,BBAS3,23.329552,1,0.51917285,1,1
2024-11-18,BBAS3,23.642202,1,0.53043413,1,1
2024-11-19,BBAS3,23.770947,0,0.5009135,1,0
2024-11-21,BBAS3,23.228397,0,0.53423065,1,0
2024-11-22,BBAS3,23.541052,1,0.5613309,1,1
2024-11-25,BBAS3,23.678988,1,0.53732115,1,1
2024-11-26,BBAS3,24.05695,0,0.52596587,1,0
2024-11-27,BBAS3,23.635225,0,0.52514285,1,0
2024-11-28,BBAS3,22.941729,1,0.53423065,1,1
2024-11-29,BBAS3,23.213505,0,0.5426736,1,0
2024-12-02,BBAS3,23.02607,1,0.53423065,1,1
2024-12-03,BBAS3,23.30722,1,0.52596587,1,1
2024-12-04,BBAS3,23.588367,0,0.5009135,1,0
2024-12-05,BBAS3,23.878887,0,0.4853386,0,1
2024-12-06,BBAS3,23.176018,0,0.48619977,0,1
2024-12-09,BBAS3,23.119787,0,0.5160556,1,0
2024-12-10,BBAS3,23.269732,1,0.54330933,1,1
2024-12-11,BBAS3,23.766432,1,0.5077655,1,1
2024-12-12,BBAS3,23.451687,0,0.50375164,1,0
2024-12-13,BBAS3,23.13082,0,0.4853386,0,1
2024-12-16,BBAS3,22.800512,1,0.50537133,1,1
2024-12-17,BBAS3,23.045881,1,0.5426736,1,1
2024-12-18,BBAS3,22.404146,1,0.5357974,1,1
2024-12-19,BBAS3,22.545704,1,0.5426736,1,1
2024-12-20,BBAS3,22.725014,1,0.5009135,1,1
2024-12-23,BBAS3,22.574017,1,0.5426736,1,1
2024-12-26,BBAS3,22.838263,1,0.5009135,1,1
2024-12-27,BBAS3,22.753326,1,0.5426736,1,1
2024-12-30,BBAS3,22.809952,0,0.5426736,1,0
2025-01-02,BBAS3,22.574017,1,0.5044193,1,1
2025-01-03,BBAS3,22.404146,0,0.55835,1,0
2025-01-06,BBAS3,22.611767,1,0.51857245,1,1
2025-01-07,BBAS3,22.885447,1,0.51674664,1,1
2025-01-08,BBAS3,22.800512,1,0.55835,1,1
2025-01-09,BBAS3,22.904324,1,0.51674664,1,1
2025-01-10,BBAS3,22.847698,0,0.55835,1,0
2025-01-13,BBAS3,22.847698,1,0.50537133,1,1
2025-01-14,BBAS3,23.262941,0,0.5009135,1,0
2025-01-15,BBAS3,23.848051,1,0.50537133,1,1
2025-01-16,BBAS3,23.951864,0,0.54173136,1,0
2025-01-17,BBAS3,23.923552,1,0.48931906,0,0
2025-01-20,BBAS3,23.999048,1,0.51674664,1,1
2025-01-21,BBAS3,24.216106,1,0.54173136,1,1
2025-01-22,BBAS3,24.65966,1,0.51674664,1,1
2025-01-23,BBAS3,25.21646,0,0.5264852,1,0
2025-01-24,BBAS3,25.122087,1,0.50537133,1,1
2025-01-27,BBAS3,26.150755,0,0.52596587,1,0
2025-01-28,BBAS3,25.980883,1,0.5204621,1,1
2025-01-29,BBAS3,25.895947,0,0.47249728,0,1
2025-01-30,BBAS3,26.084692,1,0.5189247,1,1
2025-01-31,BBAS3,26.12244,0,0.54173136,1,0
2025-02-03,BBAS3,26.056381,1,0.54804856,1,1
2025-02-04,BBAS3,26.207376,0,0.5264852,1,0
2025-02-05,BBAS3,26.264002,1,0.54804856,1,1
2025-02-06,BBAS3,26.565994,0,0.51674664,1,0
2025-02-07,BBAS3,26.216814,0,0.52776486,1,0
2025-02-10,BBAS3,26.254562,1,0.5189247,1,1
2025-02-11,BBAS3,26.48106,1,0.50043637,1,1
2025-02-12,BBAS3,26.046946,0,0.49557185,0,1
2025-02-13,BBAS3,25.905386,1,0.5189247,1,1
2025-02-14,BBAS3,27.132235,1,0.47720787,0,0
2025-02-17,BBAS3,27.519161,1,0.47720787,0,0
2025-02-18,BBAS3,27.792843,0,0.47720787,0,1
2025-02-19,BBAS3,27.236046,0,0.46400514,0,1
2025-02-20,BBAS3,26.424435,1,0.46400514,0,0
2025-02-21,BBAS3,26.40556,1,0.5188055,1,1
2025-02-24,BBAS3,26.245125,1,0.55835,1,1
2025-02-25,BBAS3,26.641493,1,0.50375164,1,1
2025-02-26,BBAS3,26.490498,0,0.5253487,1,0
2025-02-27,BBAS3,26.386686,0,0.47170663,0,1
2025-02-28,BBAS3,25.773262,1,0.46686032,0,0
2025-03-05,BBAS3,26.207376,0,0.5035421,1,0
2025-03-06,BBAS3,26.169626,0,0.45118532,0,1
2025-03-07,BBAS3,26.48106,1,0.45118532,0,0
2025-03-10,BBAS3,26.396122,0,0.45118532,0,1
2025-03-11,BBAS3,26.16019,0,0.45178947,0,1
2025-03-12,BBAS3,26.131617,1,0.50306636,1,1
2025-03-13,BBAS3,26.556677,0,0.5148638,1,0
2025-03-14,BBAS3,26.933437,1,0.4975819,0,0
2025-03-17,BBAS3,27.493746,0,0.51906115,1,0
2025-03-18,BBAS3,27.532389,0,0.50408703,1,0
2025-03-19,BBAS3,27.42612,0,0.5229579,1,0
2025-03-20,BBAS3,27.290878,1,0.5189819,1,1
2025-03-21,BBAS3,27.406803,1,0.5057341,1,1
2025-03-24,BBAS3,27.39714,0,0.5624316,1,0
2025-03-25,BBAS3,27.503405,1,0.5189819,1,1
2025-03-26,BBAS3,27.83186,0,0.48754922,0,1
2025-03-27,BBAS3,27.715937,1,0.5389491,1,1
2025-03-28,BBAS3,27.667635,0,0.529377,1,0
2025-03-31,BBAS3,27.232912,0,0.49388546,0,1
2025-04-01,BBAS3,27.368158,1,0.49388546,0,0
2025-04-02,BBAS3,27.38748,1,0.49125668,0,0
2025-04-03,BBAS3,27.542048,1,0.5009135,1,1
2025-04-04,BBAS3,27.03004,1,0.47222656,0,0
2025-04-07,BBAS3,26.740227,1,0.5043049,1,1
2025-04-08,BBAS3,26.691925,0,0.50375164,1,0
2025-04-09,BBAS3,26.80785,1,0.49786818,0,0
2025-04-10,BBAS3,26.624302,0,0.4625113,0,1
2025-04-11,BBAS3,26.856155,0,0.49388546,0,1
2025-04-14,BBAS3,27.116987,0,0.49388546,0,1
2025-04-15,BBAS3,26.827171,1,0.5189819,1,1
2025-04-16,BBAS3,26.711245,0,0.4625113,0,1
2025-04-17,BBAS3,26.498716,1,0.5277046,1,1
2025-04-22,BBAS3,26.836832,0,0.4625113,0,1
2025-04-23,BBAS3,27.088007,0,0.55264306,1,0
2025-04-24,BBAS3,26.75955,1,0.55264306,1,1
2025-04-25,BBAS3,27.059025,1,0.5239754,1,1
2025-04-28,BBAS3,27.38748,1,0.5239754,1,1
2025-04-29,BBAS3,27.532389,1,0.5240054,1,1
2025-04-30,BBAS3,27.94779,0,0.48754922,0,1
2025-05-02,BBAS3,27.918808,1,0.51560384,1,1
2025-05-05,BBAS3,28.13134,0,0.49730378,0,1
2025-05-06,BBAS3,27.918808,1,0.5389491,1,1
2025-05-07,BBAS3,28.314888,0,0.49730378,0,1
2025-05-08,BBAS3,28.411491,1,0.49786818,0,0
2025-05-09,BBAS3,28.52742,0,0.48751917,0,1
2025-05-12,BBAS3,28.083036,1,0.49786818,0,0
2025-05-13,BBAS3,28.653002,1,0.48751917,0,0
2025-05-14,BBAS3,28.74961,0,0.48751917,0,1
2025-05-15,BBAS3,28.401833,0,0.53423065,1,0
2025-05-16,BBAS3,24.798471,0,0.5278884,1,0
2025-05-19,BBAS3,24.189861,1,0.5278884,1,1
2025-05-20,BBAS3,24.634243,1,0.5206815,1,1
2025-05-21,BBAS3,24.40239,0,0.5004438,1,0
2025-05-22,BBAS3,24.199518,0,0.5277046,1,0
2025-05-23,BBAS3,23.590908,1,0.5277046,1,1
2025-05-26,BBAS3,23.832422,0,0.5255275,1,0
2025-05-27,BBAS3,23.735815,0,0.55264306,1,0
2025-05-28,BBAS3,23.262451,0,0.55264306,1,0
2025-05-29,BBAS3,22.895355,0,0.55264306,1,0
2025-05-30,BBAS3,22.62486,0,0.5255275,1,0
2025-06-02,BBAS3,22.489613,0,0.55264306,1,0
2025-06-03,BBAS3,22.612324,0,0.5206815,1,0
2025-06-04,BBAS3,21.992403,1,0.5278884,1,1
2025-06-05,BBAS3,21.884161,0,0.5206815,1,0
2025-06-06,BBAS3,21.362642,1,0.5278884,1,1
2025-06-09,BBAS3,21.382322,0,0.5206815,1,0
2025-06-10,BBAS3,21.195364,0,0.55264306,1,0
2025-06-11,BBAS3,21.057602,0,0.55264306,1,0
2025-06-12,BBAS3,21.077284,1,0.5255275,1,1
2025-06-13,BBAS3,21.244564,1,0.5255275,1,1
2025-06-16,BBAS3,21.628325,0,0.5004438,1,0
2025-06-17,BBAS3,21.5496,0,0.5004438,1,0
2025-06-18,BBAS3,21.461042,0,0.5004438,1,0
2025-06-20,BBAS3,21.008402,0,0.54330933,1,0
2025-06-23,BBAS3,20.752563,1,0.5278884,1,1
2025-06-24,BBAS3,21.096964,1,0.5206815,1,1
2025-06-25,BBAS3,20.919844,1,0.5206815,1,1
2025-06-26,BBAS3,21.254404,1,0.5206815,1,1
2025-06-27,BBAS3,21.382322,1,0.5206815,1,1
2025-06-30,BBAS3,21.73656,0,0.5206815,1,0
2025-07-01,BBAS3,21.55944,1,0.5278884,1,1
2025-07-02,BBAS3,21.638163,1,0.5004438,1,1
2025-07-03,BBAS3,21.943201,1,0.5004438,1,1
2025-07-04,BBAS3,22.071123,0,0.5004438,1,0
2025-07-07,BBAS3,21.707043,0,0.5206815,1,0
2025-07-08,BBAS3,21.648005,0,0.5388381,1,0
2025-07-09,BBAS3,21.106804,0,0.5278884,1,0
2025-07-10,BBAS3,20.87064,1,0.5111945,1,1
2025-07-11,BBAS3,20.801764,0,0.5206815,1,0
2025-07-14,BBAS3,20.349123,1,0.5278884,1,1
2025-07-15,BBAS3,20.565601,0,0.5206815,1,0
2025-07-16,BBAS3,20.545921,0,0.5206815,1,0
2025-07-17,BBAS3,20.408161,0,0.4838116,0,1
2025-07-18,BBAS3,19.935844,0,0.4838116,0,1
2025-07-21,BBAS3,19.542242,1,0.4981167,0,0
2025-07-22,BBAS3,19.571762,1,0.5004438,1,1
2025-07-23,BBAS3,19.886639,1,0.5206815,1,1
2025-07-24,BBAS3,19.748884,1,0.531954,1,1
2025-07-25,BBAS3,19.916162,0,0.531954,1,0
2025-07-28,BBAS3,19.620962,0,0.54330933,1,0
2025-07-29,BBAS3,19.630804,0,0.5206815,1,0
2025-07-30,BBAS3,19.581602,0,0.51917285,1,0
2025-07-31,BBAS3,19.384802,0,0.531954,1,0
2025-08-01,BBAS3,18.0564,1,0.4846268,0,0
2025-08-04,BBAS3,18.42048,0,0.4984398,0,1
2025-08-05,BBAS3,18.322083,0,0.461628,0,1
2025-08-06,BBAS3,18.4008,0,0.52115196,1,0
2025-08-07,BBAS3,18.607443,1,0.4984398,0,0
2025-08-08,BBAS3,18.627123,1,0.531954,1,1
2025-08-11,BBAS3,18.794403,0,0.531954,1,0
2025-08-12,BBAS3,18.932163,1,0.5274192,1,1
2025-08-13,BBAS3,18.971523,1,0.531954,1,1
2025-08-14,BBAS3,19.532404,1,0.531954,1,1
2025-08-15,BBAS3,20.319601,1,0.531954,1,1
2025-08-18,BBAS3,20.73288,0,0.49295992,0,1
2025-08-19,BBAS3,19.4832,1,0.47663867,0,0
2025-08-20,BBAS3,19.542242,0,0.46943584,0,1
2025-08-21,BBAS3,19.374964,1,0.47663867,0,0
2025-08-22,BBAS3,20.172003,0,0.46943584,0,1
2025-08-25,BBAS3,19.729202,1,0.489298,0,0
2025-08-26,BBAS3,20.05392,1,0.46943584,0,0
2025-08-27,BBAS3,20.299921,1,0.46943584,0,0
2025-08-28,BBAS3,20.7132,1,0.46943584,0,0
2025-08-29,BBAS3,21.04776,0,0.46115562,0,1
2025-09-01,BBAS3,20.752563,0,0.46552986,0,1
2025-09-02,BBAS3,20.093283,0,0.47381958,0,1
2025-09-03,BBAS3,19.955524,0,0.4307896,0,1
2025-09-04,BBAS3,20.093283,1,0.4307896,0,0
2025-09-05,BBAS3,20.811602,0,0.48488587,0,1
2025-09-08,BBAS3,20.614803,1,0.49210593,0,0
2025-09-09,BBAS3,21.057602,1,0.48336166,0,0
2025-09-10,BBAS3,21.6972,1,0.48336166,0,0
