feature,grupo,janela,importance
z_alpha_63d,z_alpha,63d,0.029169483
z_alpha_14d,z_alpha,14d,0.028983522
dist_sma_3d,dist_sma,3d,0.026573768
z_mercado_63d,z_mercado,63d,0.02370587
dist_sma_63d,dist_sma,63d,0.02319775
trend_mercado_42d,trend_mercado,42d,0.022087181
beta_3d,beta,3d,0.02203581
z_alpha_3d,z_alpha,3d,0.021997022
risco_mercado_5d,risco_mercado,5d,0.02173109
spread_retorno_5d,spread_retorno,5d,0.021415181
spread_retorno_3d,spread_retorno,3d,0.02122934
trend_mercado_63d,trend_mercado,63d,0.020098798
spread_vol_3d,spread_vol,3d,0.020019565
spread_vol_63d,spread_vol,63d,0.019992322
spread_vol_42d,spread_vol,42d,0.01977281
spread_retorno_14d,spread_retorno,14d,0.019399088
dist_sma_21d,dist_sma,21d,0.019252421
trend_mercado_14d,trend_mercado,14d,0.019150984
beta_42d,beta,42d,0.019147828
dist_sma_42d,dist_sma,42d,0.019145481
dist_sma_5d,dist_sma,5d,0.018800726
risco_mercado_63d,risco_mercado,63d,0.018653082
risco_mercado_21d,risco_mercado,21d,0.018650344
z_mercado_14d,z_mercado,14d,0.018639779
z_mercado_42d,z_mercado,42d,0.018639576
spread_volratio_3d,spread_volratio,3d,0.018616201
trend_mercado_3d,trend_mercado,3d,0.018426424
spread_vol_21d,spread_vol,21d,0.018128645
z_alpha_21d,z_alpha,21d,0.0177812
trend_mercado_21d,trend_mercado,21d,0.017695699
spread_volratio_21d,spread_volratio,21d,0.017512172
beta_21d,beta,21d,0.017352195
beta_63d,beta,63d,0.017282194
z_mercado_5d,z_mercado,5d,0.01717541
spread_retorno_63d,spread_retorno,63d,0.017030407
dist_sma_14d,dist_sma,14d,0.016985798
z_alpha_5d,z_alpha,5d,0.016383596
z_mercado_3d,z_mercado,3d,0.016360423
beta_5d,beta,5d,0.016242122
spread_vol_14d,spread_vol,14d,0.01604147
spread_volratio_5d,spread_volratio,5d,0.015675595
z_alpha_42d,z_alpha,42d,0.015665362
z_mercado_21d,z_mercado,21d,0.015518333
risco_mercado_14d,risco_mercado,14d,0.015362861
risco_mercado_42d,risco_mercado,42d,0.0152888
spread_volratio_42d,spread_volratio,42d,0.01509915
spread_vol_5d,spread_vol,5d,0.015050395
risco_mercado_3d,risco_mercado,3d,0.015008746
beta_14d,beta,14d,0.014929626
spread_volratio_63d,spread_volratio,63d,0.014909893
spread_volratio_14d,spread_volratio,14d,0.014811542
spread_retorno_42d,spread_retorno,42d,0.014421638
spread_retorno_21d,spread_retorno,21d,0.013892808
trend_mercado_5d,trend_mercado,5d,0.013862547
