date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,BBDC4,13.406121,1,0.5020464,1,1
2024-08-30,BBDC4,13.4147005,1,0.49944606,0,0
2024-09-02,BBDC4,13.380392,1,0.50018656,1,1
2024-09-03,BBDC4,13.525503,0,0.5020464,1,0
2024-09-04,BBDC4,13.628554,1,0.5034535,1,1
2024-09-05,BBDC4,13.74878,0,0.5020464,1,0
2024-09-06,BBDC4,13.482565,1,0.5034535,1,1
2024-09-09,BBDC4,13.525503,1,0.5020464,1,1
2024-09-10,BBDC4,13.568442,0,0.50018656,1,0
2024-09-11,BBDC4,13.413863,1,0.5001446,1,1
2024-09-12,BBDC4,13.353748,0,0.5020464,1,0
2024-09-13,BBDC4,13.353748,0,0.5034535,1,0
2024-09-16,BBDC4,13.250697,0,0.5001446,1,0
2024-09-17,BBDC4,13.16482,1,0.5034535,1,1
2024-09-18,BBDC4,13.087534,0,0.5020464,1,0
2024-09-19,BBDC4,12.907193,0,0.5034535,1,0
2024-09-20,BBDC4,12.666739,0,0.5020464,1,0
2024-09-23,BBDC4,12.340412,0,0.5001446,1,0
2024-09-24,BBDC4,12.3232355,1,0.5034535,1,1
2024-09-25,BBDC4,12.400524,1,0.5020464,1,1
2024-09-26,BBDC4,12.718265,1,0.5020464,1,1
2024-09-27,BBDC4,12.829904,0,0.5020464,1,0
2024-09-30,BBDC4,12.623802,1,0.5034535,1,1
2024-10-01,BBDC4,12.787038,1,0.497338,0,0
2024-10-02,BBDC4,13.248084,1,0.5001971,1,1
2024-10-03,BBDC4,13.108628,1,0.497338,0,0
2024-10-04,BBDC4,13.1260605,1,0.5,1,1
2024-10-07,BBDC4,13.248084,1,0.5,1,1
2024-10-08,BBDC4,13.265514,0,0.5,1,0
2024-10-09,BBDC4,13.004041,1,0.5034535,1,1
2024-10-10,BBDC4,13.073766,0,0.5,1,0
2024-10-11,BBDC4,12.899448,1,0.49607086,0,0
2024-10-14,BBDC4,13.0912,1,0.5,1,1
2024-10-15,BBDC4,13.204504,0,0.5,1,0
2024-10-16,BBDC4,13.160925,1,0.5034535,1,1
2024-10-17,BBDC4,13.248084,1,0.5020464,1,1
2024-10-18,BBDC4,13.352673,0,0.5020464,1,0
2024-10-21,BBDC4,13.317811,0,0.5020464,1,0
2024-10-22,BBDC4,13.23065,0,0.50018656,1,0
