feature,grupo,janela,importance
dist_sma_3d,dist_sma,3d,0.026906662
spread_retorno_5d,spread_retorno,5d,0.025959143
trend_mercado_14d,trend_mercado,14d,0.023112494
dist_sma_42d,dist_sma,42d,0.022401638
spread_vol_21d,spread_vol,21d,0.02217898
dist_sma_21d,dist_sma,21d,0.021700704
trend_mercado_63d,trend_mercado,63d,0.021691456
dist_sma_14d,dist_sma,14d,0.021680381
spread_volratio_3d,spread_volratio,3d,0.021571279
risco_mercado_42d,risco_mercado,42d,0.021454701
trend_mercado_42d,trend_mercado,42d,0.021114286
risco_mercado_3d,risco_mercado,3d,0.020608831
z_alpha_63d,z_alpha,63d,0.02036452
beta_63d,beta,63d,0.019771952
spread_volratio_5d,spread_volratio,5d,0.019645346
z_mercado_14d,z_mercado,14d,0.019614892
spread_vol_5d,spread_vol,5d,0.01931253
beta_5d,beta,5d,0.019235997
z_mercado_63d,z_mercado,63d,0.019085782
z_mercado_42d,z_mercado,42d,0.018991467
spread_retorno_14d,spread_retorno,14d,0.018883925
trend_mercado_5d,trend_mercado,5d,0.018699357
z_mercado_3d,z_mercado,3d,0.018611144
spread_volratio_63d,spread_volratio,63d,0.018381182
beta_21d,beta,21d,0.01834053
spread_retorno_21d,spread_retorno,21d,0.018271139
beta_42d,beta,42d,0.018165953
spread_vol_3d,spread_vol,3d,0.018157257
z_mercado_5d,z_mercado,5d,0.018127033
dist_sma_63d,dist_sma,63d,0.01789532
z_alpha_14d,z_alpha,14d,0.017657813
spread_retorno_63d,spread_retorno,63d,0.017602859
beta_3d,beta,3d,0.017541355
z_mercado_21d,z_mercado,21d,0.017305046
z_alpha_21d,z_alpha,21d,0.017247895
dist_sma_5d,dist_sma,5d,0.017241435
z_alpha_3d,z_alpha,3d,0.017230311
spread_vol_14d,spread_vol,14d,0.017146286
spread_volratio_21d,spread_volratio,21d,0.017024169
spread_retorno_42d,spread_retorno,42d,0.016988413
spread_volratio_14d,spread_volratio,14d,0.016841527
spread_retorno_3d,spread_retorno,3d,0.016774788
trend_mercado_3d,trend_mercado,3d,0.016355941
risco_mercado_63d,risco_mercado,63d,0.016101375
risco_mercado_14d,risco_mercado,14d,0.015811324
z_alpha_5d,z_alpha,5d,0.015577163
spread_vol_42d,spread_vol,42d,0.015413213
spread_volratio_42d,spread_volratio,42d,0.01537906
trend_mercado_21d,trend_mercado,21d,0.0151793435
risco_mercado_21d,risco_mercado,21d,0.015055792
risco_mercado_5d,risco_mercado,5d,0.014875322
z_alpha_42d,z_alpha,42d,0.014809635
spread_vol_63d,spread_vol,63d,0.01479731
beta_14d,beta,14d,0.014106713
