date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,CMIG4,9.45704,1,0.40426162,0,0
2024-08-30,CMIG4,9.481497,1,0.3993099,0,0
2024-09-02,CMIG4,9.530412,0,0.47470945,0,1
2024-09-03,CMIG4,9.473345,1,0.38728577,0,0
2024-09-04,CMIG4,9.74238,0,0.55409855,1,0
2024-09-05,CMIG4,9.70977,1,0.5195046,1,1
2024-09-06,CMIG4,9.652703,0,0.47431698,0,1
2024-09-09,CMIG4,9.660854,0,0.4820524,0,1
2024-09-10,CMIG4,9.611938,0,0.40904707,0,1
2024-09-11,CMIG4,9.587481,0,0.4131766,0,1
2024-09-12,CMIG4,9.538565,0,0.4040451,0,1
2024-09-13,CMIG4,9.595634,0,0.36931017,0,1
2024-09-16,CMIG4,9.571176,0,0.37836495,0,1
2024-09-17,CMIG4,9.554872,1,0.38639233,0,0
2024-09-18,CMIG4,9.546718,0,0.39756986,0,1
2024-09-19,CMIG4,9.465192,1,0.41842392,0,0
2024-09-20,CMIG4,9.43258,1,0.50048554,1,1
2024-09-23,CMIG4,9.399971,0,0.42614132,0,1
2024-09-24,CMIG4,9.371188,1,0.42682567,0,0
2024-09-25,CMIG4,9.379459,0,0.43831494,0,1
2024-09-26,CMIG4,9.478713,0,0.48051682,0,1
2024-09-27,CMIG4,9.362917,1,0.33610612,0,0
2024-09-30,CMIG4,9.429087,0,0.51676095,1,0
2024-10-01,CMIG4,9.44563,0,0.39756542,0,1
2024-10-02,CMIG4,9.429087,0,0.42808813,0,1
2024-10-03,CMIG4,9.296748,0,0.40509966,0,1
2024-10-04,CMIG4,9.23058,1,0.4327078,0,0
2024-10-07,CMIG4,9.255392,1,0.5505575,1,1
2024-10-08,CMIG4,9.23058,1,0.5210028,1,1
2024-10-09,CMIG4,9.131326,1,0.54839784,1,1
2024-10-10,CMIG4,9.1974945,0,0.55537176,1,0
2024-10-11,CMIG4,9.114783,1,0.49756384,0,0
2024-10-14,CMIG4,9.189223,0,0.5754763,1,0
2024-10-15,CMIG4,9.172681,1,0.5806902,1,1
2024-10-16,CMIG4,9.222307,1,0.56519055,1,1
2024-10-17,CMIG4,9.180952,0,0.49563205,0,1
2024-10-18,CMIG4,9.131326,1,0.5270098,1,1
2024-10-21,CMIG4,9.1974945,0,0.48253518,0,1
2024-10-22,CMIG4,9.147868,1,0.5203988,1,1
2024-10-23,CMIG4,9.147868,1,0.5592008,1,1
2024-10-24,CMIG4,9.280207,0,0.4687458,0,1
2024-10-25,CMIG4,9.222307,1,0.39158005,0,0
2024-10-28,CMIG4,9.338103,1,0.5853232,1,1
2024-10-29,CMIG4,9.404272,1,0.43564186,0,0
2024-10-30,CMIG4,9.412542,1,0.40703082,0,0
2024-10-31,CMIG4,9.404272,1,0.44896388,0,0
2024-11-01,CMIG4,9.396003,1,0.46414408,0,0
2024-11-04,CMIG4,9.611052,0,0.36968428,0,1
2024-11-05,CMIG4,9.586239,0,0.39010635,0,1
2024-11-06,CMIG4,9.453899,0,0.35834265,0,1
2024-11-07,CMIG4,9.404272,1,0.37995586,0,0
2024-11-08,CMIG4,9.338103,1,0.40418226,0,0
2024-11-11,CMIG4,9.520068,0,0.46162128,0,1
2024-11-12,CMIG4,9.396003,1,0.41465628,0,0
2024-11-13,CMIG4,9.503527,1,0.47297525,0,0
2024-11-14,CMIG4,9.999794,0,0.53311765,1,0
2024-11-18,CMIG4,9.586239,1,0.5033518,1,1
2024-11-19,CMIG4,9.883998,0,0.54585665,1,0
2024-11-21,CMIG4,9.586239,0,0.4792903,0,1
2024-11-22,CMIG4,9.67722,1,0.5371462,1,1
2024-11-25,CMIG4,9.735119,1,0.55678254,1,1
2024-11-26,CMIG4,9.95844,1,0.51788265,1,1
2024-11-27,CMIG4,9.81783,0,0.37171453,0,1
2024-11-28,CMIG4,9.486984,1,0.43770885,0,0
2024-11-29,CMIG4,9.842643,0,0.47536972,0,1
2024-12-02,CMIG4,9.635863,0,0.44854495,0,1
2024-12-03,CMIG4,9.5696945,0,0.49847686,0,1
2024-12-04,CMIG4,9.453899,1,0.4949684,0,0
2024-12-05,CMIG4,9.660678,0,0.5111535,1,0
2024-12-06,CMIG4,9.511799,1,0.5312128,1,1
2024-12-09,CMIG4,9.619323,0,0.527569,1,0
2024-12-10,CMIG4,9.6441345,1,0.5098488,1,1
2024-12-11,CMIG4,9.776474,1,0.56526953,1,1
2024-12-12,CMIG4,9.511799,1,0.55446506,1,1
2024-12-13,CMIG4,9.44563,1,0.4943187,0,0
2024-12-16,CMIG4,9.420815,0,0.5718066,1,0
2024-12-17,CMIG4,9.495255,1,0.61474204,1,1
2024-12-18,CMIG4,9.222307,1,0.5949996,1,1
2024-12-19,CMIG4,9.346375,1,0.5155421,1,1
2024-12-20,CMIG4,9.544882,0,0.53358847,1,0
2024-12-23,CMIG4,9.180952,1,0.5238021,1,1
2024-12-26,CMIG4,9.303718,1,0.56611073,1,1
2024-12-27,CMIG4,9.295298,1,0.5817113,1,1
2024-12-30,CMIG4,9.354235,0,0.5106876,1,0
2025-01-02,CMIG4,9.328978,0,0.4552016,0,1
2025-01-03,CMIG4,9.1269045,0,0.4924167,0,1
2025-01-06,CMIG4,9.135325,1,0.48783842,0,0
2025-01-07,CMIG4,9.354235,0,0.5407793,1,0
2025-01-08,CMIG4,9.1269045,0,0.4954295,0,1
2025-01-09,CMIG4,9.059548,0,0.57023185,1,0
2025-01-10,CMIG4,8.815376,1,0.45706958,0,0
2025-01-13,CMIG4,8.832217,0,0.59977496,1,0
2025-01-14,CMIG4,8.781699,0,0.6040264,1,0
2025-01-15,CMIG4,8.916413,0,0.5106182,1,0
2025-01-16,CMIG4,8.655405,1,0.4785656,0,0
2025-01-17,CMIG4,8.806956,1,0.5951733,1,1
2025-01-20,CMIG4,8.907993,0,0.6213627,1,0
2025-01-21,CMIG4,8.933253,0,0.5308426,1,0
2025-01-22,CMIG4,8.865897,1,0.49463362,0,0
2025-01-23,CMIG4,8.907993,0,0.59559023,1,0
2025-01-24,CMIG4,8.840637,1,0.54503274,1,1
2025-01-27,CMIG4,9.051127,1,0.57638925,1,1
2025-01-28,CMIG4,9.0763855,0,0.53780043,1,0
2025-01-29,CMIG4,8.99219,0,0.5367979,1,0
2025-01-30,CMIG4,9.1942625,1,0.51232034,1,1
2025-01-31,CMIG4,9.2279415,1,0.5220852,1,1
2025-02-03,CMIG4,9.421593,0,0.546049,1,0
2025-02-04,CMIG4,9.345816,0,0.4898709,0,1
2025-02-05,CMIG4,9.320557,0,0.48422688,0,1
2025-02-06,CMIG4,9.2279415,1,0.5966168,1,1
2025-02-07,CMIG4,9.2363615,0,0.57621026,1,0
2025-02-10,CMIG4,9.286878,1,0.5599846,1,1
2025-02-11,CMIG4,9.371076,1,0.6058363,1,1
2025-02-12,CMIG4,9.303718,0,0.481259,0,1
2025-02-13,CMIG4,9.337397,0,0.41120306,0,1
2025-02-14,CMIG4,9.581565,0,0.44539472,0,1
2025-02-17,CMIG4,9.598406,1,0.5873829,1,1
2025-02-18,CMIG4,9.598406,0,0.44804114,0,1
2025-02-19,CMIG4,9.505789,0,0.5073229,1,0
2025-02-20,CMIG4,9.430014,1,0.47899014,0,0
2025-02-21,CMIG4,9.472112,1,0.45404232,0,0
2025-02-24,CMIG4,9.421593,1,0.49110606,0,0
2025-02-25,CMIG4,9.589986,1,0.36019844,0,0
2025-02-26,CMIG4,9.505789,0,0.41059682,0,1
2025-02-27,CMIG4,9.480531,1,0.39206126,0,0
2025-02-28,CMIG4,9.371076,1,0.46730298,0,0
2025-03-05,CMIG4,9.396335,1,0.5325226,1,1
2025-03-06,CMIG4,9.531048,0,0.46496394,0,1
2025-03-07,CMIG4,9.564728,0,0.39337403,0,1
2025-03-10,CMIG4,9.379496,1,0.5529254,1,1
2025-03-11,CMIG4,9.404755,1,0.5247359,1,1
2025-03-12,CMIG4,9.438432,0,0.47439328,0,1
2025-03-13,CMIG4,9.472112,0,0.41043252,0,1
2025-03-14,CMIG4,9.24478,1,0.4002485,0,0
2025-03-17,CMIG4,9.421593,1,0.48403102,0,0
2025-03-18,CMIG4,9.539468,1,0.45648295,0,0
2025-03-19,CMIG4,9.674182,0,0.47637892,0,1
2025-03-20,CMIG4,9.556307,0,0.44362313,0,1
2025-03-21,CMIG4,9.093227,1,0.48054814,0,0
