feature,grupo,janela,importance
dist_sma_5d,dist_sma,5d,0.025599599
risco_mercado_42d,risco_mercado,42d,0.023379272
beta_14d,beta,14d,0.023085542
spread_retorno_42d,spread_retorno,42d,0.022851529
z_mercado_3d,z_mercado,3d,0.021686694
beta_21d,beta,21d,0.021475846
risco_mercado_21d,risco_mercado,21d,0.021469645
spread_vol_21d,spread_vol,21d,0.020906558
spread_volratio_3d,spread_volratio,3d,0.02077261
trend_mercado_5d,trend_mercado,5d,0.020684557
beta_63d,beta,63d,0.020233288
z_alpha_14d,z_alpha,14d,0.020226967
dist_sma_3d,dist_sma,3d,0.020075446
spread_volratio_21d,spread_volratio,21d,0.020017156
dist_sma_63d,dist_sma,63d,0.019937662
trend_mercado_42d,trend_mercado,42d,0.019790392
spread_retorno_63d,spread_retorno,63d,0.019708853
z_alpha_63d,z_alpha,63d,0.019684622
beta_42d,beta,42d,0.019590778
beta_3d,beta,3d,0.019540856
trend_mercado_63d,trend_mercado,63d,0.019250637
spread_vol_5d,spread_vol,5d,0.019224288
spread_retorno_14d,spread_retorno,14d,0.018977756
z_alpha_42d,z_alpha,42d,0.018831046
spread_volratio_14d,spread_volratio,14d,0.018795233
z_alpha_5d,z_alpha,5d,0.01857322
spread_retorno_3d,spread_retorno,3d,0.018452156
z_mercado_21d,z_mercado,21d,0.018415663
spread_volratio_63d,spread_volratio,63d,0.01839184
z_alpha_3d,z_alpha,3d,0.018364072
z_mercado_63d,z_mercado,63d,0.018306328
risco_mercado_3d,risco_mercado,3d,0.0182649
z_mercado_14d,z_mercado,14d,0.018247014
z_mercado_42d,z_mercado,42d,0.018190494
spread_volratio_5d,spread_volratio,5d,0.018172948
spread_vol_42d,spread_vol,42d,0.018112335
spread_retorno_21d,spread_retorno,21d,0.018097682
spread_retorno_5d,spread_retorno,5d,0.018004669
z_alpha_21d,z_alpha,21d,0.01778647
spread_vol_14d,spread_vol,14d,0.017777327
risco_mercado_14d,risco_mercado,14d,0.017526688
risco_mercado_5d,risco_mercado,5d,0.016933722
trend_mercado_14d,trend_mercado,14d,0.016863419
dist_sma_21d,dist_sma,21d,0.016811062
dist_sma_42d,dist_sma,42d,0.016751181
z_mercado_5d,z_mercado,5d,0.015796613
dist_sma_14d,dist_sma,14d,0.015357682
spread_vol_63d,spread_vol,63d,0.015259095
spread_vol_3d,spread_vol,3d,0.014584275
trend_mercado_3d,trend_mercado,3d,0.014532951
beta_5d,beta,5d,0.014110096
risco_mercado_63d,risco_mercado,63d,0.013183805
spread_volratio_42d,spread_volratio,42d,0.011853718
trend_mercado_21d,trend_mercado,21d,0.011481762
