feature,grupo,janela,importance
spread_volratio_14d,spread_volratio,14d,0.029178893
dist_sma_21d,dist_sma,21d,0.026594805
spread_vol_21d,spread_vol,21d,0.025625585
risco_mercado_63d,risco_mercado,63d,0.024604334
z_alpha_63d,z_alpha,63d,0.023389915
spread_volratio_21d,spread_volratio,21d,0.023107547
spread_vol_5d,spread_vol,5d,0.02302117
z_mercado_21d,z_mercado,21d,0.022927143
spread_retorno_3d,spread_retorno,3d,0.022866096
spread_vol_3d,spread_vol,3d,0.022761295
spread_volratio_3d,spread_volratio,3d,0.022441352
risco_mercado_3d,risco_mercado,3d,0.021955946
risco_mercado_5d,risco_mercado,5d,0.021793418
dist_sma_5d,dist_sma,5d,0.021691738
spread_retorno_5d,spread_retorno,5d,0.021606708
z_mercado_63d,z_mercado,63d,0.021379333
spread_volratio_63d,spread_volratio,63d,0.021338329
z_mercado_5d,z_mercado,5d,0.020769503
spread_retorno_14d,spread_retorno,14d,0.0207548
z_alpha_42d,z_alpha,42d,0.02054445
z_alpha_3d,z_alpha,3d,0.020442484
spread_vol_42d,spread_vol,42d,0.020436902
spread_vol_14d,spread_vol,14d,0.020282349
beta_5d,beta,5d,0.019652268
beta_42d,beta,42d,0.019343754
spread_vol_63d,spread_vol,63d,0.019175757
beta_14d,beta,14d,0.018903561
beta_21d,beta,21d,0.018544335
trend_mercado_14d,trend_mercado,14d,0.01851915
spread_retorno_63d,spread_retorno,63d,0.01834587
trend_mercado_63d,trend_mercado,63d,0.01810162
spread_volratio_42d,spread_volratio,42d,0.0180079
z_mercado_14d,z_mercado,14d,0.01747143
risco_mercado_21d,risco_mercado,21d,0.017322926
spread_volratio_5d,spread_volratio,5d,0.017313182
dist_sma_63d,dist_sma,63d,0.017213019
beta_63d,beta,63d,0.016885089
trend_mercado_21d,trend_mercado,21d,0.01687178
z_alpha_5d,z_alpha,5d,0.016837128
z_mercado_42d,z_mercado,42d,0.016674997
z_mercado_3d,z_mercado,3d,0.016438091
risco_mercado_42d,risco_mercado,42d,0.01611843
spread_retorno_21d,spread_retorno,21d,0.015772054
risco_mercado_14d,risco_mercado,14d,0.015700566
trend_mercado_42d,trend_mercado,42d,0.014918853
z_alpha_14d,z_alpha,14d,0.014885732
dist_sma_42d,dist_sma,42d,0.014685569
beta_3d,beta,3d,0.014661683
trend_mercado_3d,trend_mercado,3d,0.014228071
dist_sma_3d,dist_sma,3d,0.011932625
trend_mercado_5d,trend_mercado,5d,0.009689034
spread_retorno_42d,spread_retorno,42d,0.008280596
z_alpha_21d,z_alpha,21d,0.0079909
dist_sma_14d,dist_sma,14d,0.0
