date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,GGBR4,17.451532,0,0.4999609,0,1
2024-08-30,GGBR4,17.290905,1,0.50690025,1,1
2024-09-02,GGBR4,17.309803,0,0.50690025,1,0
2024-09-03,GGBR4,16.723995,1,0.50690025,1,1
2024-09-04,GGBR4,17.234213,1,0.50690025,1,1
2024-09-05,GGBR4,17.385393,1,0.516187,1,1
2024-09-06,GGBR4,17.168077,1,0.516187,1,1
2024-09-09,GGBR4,17.47988,1,0.516187,1,1
2024-09-10,GGBR4,17.47043,1,0.516187,1,1
2024-09-11,GGBR4,17.546017,1,0.52754915,1,1
2024-09-12,GGBR4,17.574364,1,0.52754915,1,1
2024-09-13,GGBR4,17.763338,0,0.52754915,1,0
2024-09-16,GGBR4,17.460981,1,0.50690025,1,1
2024-09-17,GGBR4,17.498777,1,0.50690025,1,1
2024-09-18,GGBR4,17.404291,1,0.47651964,0,0
2024-09-19,GGBR4,17.432638,0,0.49047503,0,1
2024-09-20,GGBR4,17.054691,0,0.48735353,0,1
2024-09-23,GGBR4,16.761786,1,0.49047503,0,0
2024-09-24,GGBR4,17.460981,0,0.5009596,1,0
2024-09-25,GGBR4,17.262562,1,0.5009596,1,1
2024-09-26,GGBR4,17.933413,1,0.5009596,1,1
2024-09-27,GGBR4,17.95231,1,0.5009596,1,1
2024-09-30,GGBR4,18.046797,0,0.5009596,1,0
2024-10-01,GGBR4,18.075142,1,0.5009596,1,1
2024-10-02,GGBR4,18.301908,0,0.47651964,0,1
2024-10-03,GGBR4,17.810583,1,0.49047503,0,0
2024-10-04,GGBR4,18.122387,1,0.49047503,0,0
2024-10-07,GGBR4,18.34915,0,0.5009596,1,0
2024-10-08,GGBR4,18.0279,1,0.5009596,1,1
2024-10-09,GGBR4,18.056246,0,0.5009596,1,0
2024-10-10,GGBR4,18.094038,0,0.49047503,0,1
2024-10-11,GGBR4,17.41374,0,0.47651964,0,1
2024-10-14,GGBR4,17.442083,0,0.50690025,1,0
2024-10-15,GGBR4,17.328703,0,0.50690025,1,0
2024-10-16,GGBR4,17.253115,1,0.516187,1,1
2024-10-17,GGBR4,17.186974,1,0.4999609,0,0
2024-10-18,GGBR4,17.385393,0,0.52754915,1,0
2024-10-21,GGBR4,17.328703,0,0.52754915,1,0
2024-10-22,GGBR4,17.168077,0,0.52754915,1,0
2024-10-23,GGBR4,16.969654,0,0.49047503,0,1
2024-10-24,GGBR4,16.931864,1,0.49047503,0,0
2024-10-25,GGBR4,16.998001,1,0.48627108,0,0
2024-10-28,GGBR4,17.272013,1,0.49047503,0,0
2024-10-29,GGBR4,17.460981,0,0.49047503,0,1
2024-10-30,GGBR4,17.404291,1,0.5067022,1,1
2024-10-31,GGBR4,17.290905,1,0.48735353,0,0
2024-11-01,GGBR4,17.196423,0,0.48735353,0,1
2024-11-04,GGBR4,17.224766,0,0.5067022,1,0
2024-11-05,GGBR4,17.20587,1,0.5067022,1,1
2024-11-06,GGBR4,18.859373,1,0.4999609,0,0
2024-11-07,GGBR4,19.369596,1,0.50690025,1,1
2024-11-08,GGBR4,19.3318,0,0.49047503,0,1
2024-11-11,GGBR4,19.322357,0,0.49047503,0,1
2024-11-12,GGBR4,18.594814,1,0.50690025,1,1
2024-11-13,GGBR4,18.69875,1,0.49047503,0,0
2024-11-14,GGBR4,18.925516,0,0.49047503,0,1
2024-11-18,GGBR4,18.840477,0,0.516187,1,0
2024-11-19,GGBR4,18.830881,1,0.516187,1,1
2024-11-21,GGBR4,18.907625,0,0.5042764,1,0
2024-11-22,GGBR4,18.984371,1,0.5042764,1,1
2024-11-25,GGBR4,19.4832,0,0.5042764,1,0
2024-11-26,GGBR4,19.137856,1,0.49047503,0,0
2024-11-27,GGBR4,19.310528,1,0.5042764,1,1
2024-11-28,GGBR4,19.425644,0,0.49703017,0,1
2024-11-29,GGBR4,19.473608,1,0.49703017,0,0
2024-12-02,GGBR4,19.64628,1,0.49703017,0,0
2024-12-03,GGBR4,20.020403,0,0.52754915,1,0
2024-12-04,GGBR4,19.972437,0,0.52754915,1,0
2024-12-05,GGBR4,20.001219,0,0.52754915,1,0
2024-12-06,GGBR4,19.636688,1,0.52754915,1,1
2024-12-09,GGBR4,20.289005,0,0.4999609,0,1
2024-12-10,GGBR4,20.183485,0,0.49047503,0,1
2024-12-11,GGBR4,20.145111,1,0.49047503,0,0
2024-12-12,GGBR4,19.761396,0,0.48627108,0,1
2024-12-13,GGBR4,19.185822,1,0.47651964,0,0
2024-12-16,GGBR4,19.310528,1,0.48735353,0,0
2024-12-17,GGBR4,19.550348,0,0.5067022,1,0
2024-12-18,GGBR4,18.82129,0,0.50690025,1,0
2024-12-19,GGBR4,18.581469,0,0.50690025,1,0
2024-12-20,GGBR4,18.466352,0,0.5067022,1,0
2024-12-23,GGBR4,17.9963,0,0.5067022,1,0
