feature,grupo,janela,importance
spread_vol_5d,spread_vol,5d,0.022918273
z_alpha_42d,z_alpha,42d,0.022737522
trend_mercado_63d,trend_mercado,63d,0.022304388
z_mercado_63d,z_mercado,63d,0.021996364
trend_mercado_21d,trend_mercado,21d,0.021144945
beta_42d,beta,42d,0.021131339
spread_vol_42d,spread_vol,42d,0.02088731
trend_mercado_5d,trend_mercado,5d,0.02075599
spread_volratio_3d,spread_volratio,3d,0.020755699
spread_retorno_3d,spread_retorno,3d,0.020340249
spread_vol_21d,spread_vol,21d,0.020256836
spread_vol_3d,spread_vol,3d,0.019878602
dist_sma_42d,dist_sma,42d,0.019874794
z_mercado_14d,z_mercado,14d,0.019822167
spread_retorno_42d,spread_retorno,42d,0.019820698
dist_sma_63d,dist_sma,63d,0.019666843
risco_mercado_5d,risco_mercado,5d,0.01956811
z_alpha_14d,z_alpha,14d,0.019485937
beta_5d,beta,5d,0.019204956
beta_14d,beta,14d,0.01907221
z_mercado_5d,z_mercado,5d,0.018939612
spread_volratio_5d,spread_volratio,5d,0.018900445
trend_mercado_14d,trend_mercado,14d,0.018810356
beta_63d,beta,63d,0.018784212
z_mercado_3d,z_mercado,3d,0.018656518
dist_sma_5d,dist_sma,5d,0.018643366
spread_vol_14d,spread_vol,14d,0.018534048
dist_sma_14d,dist_sma,14d,0.018439861
z_alpha_63d,z_alpha,63d,0.018200172
spread_retorno_63d,spread_retorno,63d,0.017954044
risco_mercado_42d,risco_mercado,42d,0.017940046
trend_mercado_42d,trend_mercado,42d,0.01791736
spread_volratio_14d,spread_volratio,14d,0.017910069
z_alpha_21d,z_alpha,21d,0.017811283
risco_mercado_3d,risco_mercado,3d,0.017641313
z_alpha_3d,z_alpha,3d,0.01761935
beta_3d,beta,3d,0.01758552
beta_21d,beta,21d,0.017274119
risco_mercado_21d,risco_mercado,21d,0.017227996
dist_sma_3d,dist_sma,3d,0.017149601
spread_retorno_14d,spread_retorno,14d,0.017079834
spread_retorno_21d,spread_retorno,21d,0.016995542
z_alpha_5d,z_alpha,5d,0.01699257
spread_retorno_5d,spread_retorno,5d,0.016725054
spread_volratio_21d,spread_volratio,21d,0.016591057
trend_mercado_3d,trend_mercado,3d,0.01627641
z_mercado_42d,z_mercado,42d,0.016237875
spread_volratio_42d,spread_volratio,42d,0.016116586
z_mercado_21d,z_mercado,21d,0.016006006
risco_mercado_63d,risco_mercado,63d,0.015949061
spread_volratio_63d,spread_volratio,63d,0.015679853
dist_sma_21d,dist_sma,21d,0.015593014
risco_mercado_14d,risco_mercado,14d,0.0151920905
spread_vol_63d,spread_vol,63d,0.015002486
