feature,grupo,janela,importance
z_alpha_42d,z_alpha,42d,0.023164274
beta_63d,beta,63d,0.022708744
dist_sma_3d,dist_sma,3d,0.021627704
spread_volratio_5d,spread_volratio,5d,0.021613352
risco_mercado_42d,risco_mercado,42d,0.021484552
spread_volratio_14d,spread_volratio,14d,0.021131454
z_mercado_42d,z_mercado,42d,0.020867124
z_mercado_21d,z_mercado,21d,0.020829955
spread_vol_63d,spread_vol,63d,0.020634372
z_alpha_63d,z_alpha,63d,0.020597069
spread_vol_42d,spread_vol,42d,0.020503057
z_alpha_3d,z_alpha,3d,0.020482233
z_mercado_63d,z_mercado,63d,0.020288773
risco_mercado_63d,risco_mercado,63d,0.020095954
spread_retorno_63d,spread_retorno,63d,0.02001454
spread_volratio_21d,spread_volratio,21d,0.019932576
z_mercado_5d,z_mercado,5d,0.019864844
spread_volratio_3d,spread_volratio,3d,0.019820394
beta_5d,beta,5d,0.019736204
trend_mercado_21d,trend_mercado,21d,0.019701594
trend_mercado_3d,trend_mercado,3d,0.019536916
dist_sma_14d,dist_sma,14d,0.019468183
z_mercado_14d,z_mercado,14d,0.019136382
dist_sma_5d,dist_sma,5d,0.018682623
beta_42d,beta,42d,0.018603757
risco_mercado_21d,risco_mercado,21d,0.018565837
z_alpha_14d,z_alpha,14d,0.018560138
beta_21d,beta,21d,0.018514391
trend_mercado_42d,trend_mercado,42d,0.018442601
trend_mercado_5d,trend_mercado,5d,0.018401286
spread_vol_3d,spread_vol,3d,0.018342985
spread_volratio_63d,spread_volratio,63d,0.018308053
spread_retorno_14d,spread_retorno,14d,0.018251875
z_mercado_3d,z_mercado,3d,0.018104227
dist_sma_21d,dist_sma,21d,0.018003546
trend_mercado_63d,trend_mercado,63d,0.01799273
spread_retorno_3d,spread_retorno,3d,0.017650904
beta_14d,beta,14d,0.017646635
dist_sma_63d,dist_sma,63d,0.017550344
spread_vol_21d,spread_vol,21d,0.01735206
spread_vol_5d,spread_vol,5d,0.016905695
spread_retorno_21d,spread_retorno,21d,0.016754031
risco_mercado_3d,risco_mercado,3d,0.016744237
spread_volratio_42d,spread_volratio,42d,0.016692748
risco_mercado_5d,risco_mercado,5d,0.016374528
z_alpha_5d,z_alpha,5d,0.016071456
spread_retorno_5d,spread_retorno,5d,0.015957264
risco_mercado_14d,risco_mercado,14d,0.015457571
dist_sma_42d,dist_sma,42d,0.015152856
trend_mercado_14d,trend_mercado,14d,0.014963045
spread_vol_14d,spread_vol,14d,0.014627389
z_alpha_21d,z_alpha,21d,0.014561206
beta_3d,beta,3d,0.013786927
spread_retorno_42d,spread_retorno,42d,0.013736814
