date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,LREN3,14.124375,1,0.49378982,0,0
2024-08-30,LREN3,14.331477,0,0.49438977,0,1
2024-09-02,LREN3,14.033249,1,0.49064118,0,0
2024-09-03,LREN3,14.273489,1,0.47785473,0,0
2024-09-04,LREN3,14.48059,1,0.48006874,0,0
2024-09-05,LREN3,14.936219,0,0.48006874,0,1
2024-09-06,LREN3,14.679409,0,0.49020606,0,1
2024-09-09,LREN3,14.555147,1,0.492976,0,0
2024-09-10,LREN3,14.646275,1,0.49020606,0,0
2024-09-11,LREN3,15.0356245,1,0.4983506,0,0
2024-09-12,LREN3,15.226158,1,0.49605468,0,0
2024-09-13,LREN3,15.690067,1,0.48351377,0,0
2024-09-16,LREN3,16.038,0,0.48564374,0,1
2024-09-17,LREN3,15.79776,1,0.4890476,0,0
2024-09-18,LREN3,15.739774,0,0.4912953,0,1
2024-09-19,LREN3,15.623797,0,0.4912953,0,1
2024-09-20,LREN3,14.9445,0,0.49571142,0,1
2024-09-23,LREN3,14.671125,1,0.49573702,0,0
2024-09-24,LREN3,15.458113,0,0.48291352,0,1
2024-09-25,LREN3,15.10597,0,0.4911524,0,1
2024-09-26,LREN3,15.047453,0,0.49181736,0,1
2024-09-27,LREN3,14.905336,1,0.5030785,1,1
2024-09-30,LREN3,15.0976095,0,0.48749492,0,1
2024-10-01,LREN3,14.938776,1,0.49945372,0,0
2024-10-02,LREN3,15.340042,0,0.48749492,0,1
2024-10-03,LREN3,15.014013,1,0.49573702,0,0
2024-10-04,LREN3,15.139409,0,0.4930662,0,1
2024-10-07,LREN3,14.796659,1,0.5005674,1,1
2024-10-08,LREN3,15.047453,0,0.48666564,0,1
2024-10-09,LREN3,14.746503,1,0.5123504,1,1
2024-10-10,LREN3,15.131048,1,0.5002002,1,1
2024-10-11,LREN3,15.640991,1,0.48486117,0,0
2024-10-14,LREN3,15.808184,1,0.48486117,0,0
2024-10-15,LREN3,15.8416195,0,0.49037457,0,1
2024-10-16,LREN3,15.707867,1,0.48429307,0,0
2024-10-17,LREN3,15.640991,0,0.4769155,0,1
2024-10-18,LREN3,15.38184,1,0.49957466,0,0
2024-10-21,LREN3,15.423638,0,0.49196723,0,1
2024-10-22,LREN3,15.181207,0,0.4999224,0,1
2024-10-23,LREN3,15.014013,1,0.5064096,1,1
2024-10-24,LREN3,15.741309,0,0.47899812,0,1
2024-10-25,LREN3,15.440356,0,0.49424925,0,1
2024-10-28,LREN3,15.473796,1,0.49504262,0,0
2024-10-29,LREN3,15.465434,1,0.49323574,0,0
2024-10-30,LREN3,15.565754,1,0.49323574,0,0
2024-10-31,LREN3,15.523956,0,0.5064096,1,0
2024-11-01,LREN3,15.139409,1,0.49332833,0,0
2024-11-04,LREN3,15.732946,0,0.4903711,0,1
2024-11-05,LREN3,15.632631,1,0.484265,0,0
2024-11-06,LREN3,15.632631,0,0.49626878,0,1
2024-11-07,LREN3,15.114329,0,0.51039135,1,0
2024-11-08,LREN3,14.186403,0,0.51039135,1,0
2024-11-11,LREN3,13.99413,1,0.51577187,1,1
2024-11-12,LREN3,13.977411,0,0.50705725,1,0
2024-11-13,LREN3,13.860374,0,0.50705725,1,0
2024-11-14,LREN3,13.785138,0,0.51245546,1,0
2024-11-18,LREN3,13.626303,1,0.51580435,1,1
2024-11-19,LREN3,13.843657,0,0.50242543,1,0
2024-11-21,LREN3,13.108003,1,0.51553786,1,1
2024-11-22,LREN3,13.500909,1,0.50877404,1,1
2024-11-25,LREN3,13.551065,1,0.49725237,0,0
2024-11-26,LREN3,14.228201,0,0.49452245,0,1
2024-11-27,LREN3,13.492548,0,0.511887,1,0
2024-11-28,LREN3,12.12156,1,0.49915254,0,0
2024-11-29,LREN3,12.589703,0,0.48432735,0,1
2024-12-02,LREN3,12.531182,1,0.47561952,0,0
2024-12-03,LREN3,12.873933,1,0.48887226,0,0
2024-12-04,LREN3,13.091283,1,0.46882075,0,0
2024-12-05,LREN3,13.342073,0,0.47739673,0,1
2024-12-06,LREN3,13.066204,0,0.4996278,0,1
2024-12-09,LREN3,12.865572,0,0.49400103,0,1
2024-12-10,LREN3,12.949168,1,0.5065432,1,1
2024-12-11,LREN3,13.300275,0,0.48588228,0,1
2024-12-12,LREN3,12.57967,1,0.49486312,0,0
2024-12-13,LREN3,12.561279,0,0.4814026,0,1
2024-12-16,LREN3,12.193452,0,0.49486312,0,1
2024-12-17,LREN3,12.294604,0,0.47664616,0,1
2024-12-18,LREN3,11.586538,1,0.4928392,0,0
2024-12-19,LREN3,11.96356,1,0.4849745,0,0
2024-12-20,LREN3,12.349778,0,0.46893063,0,1
2024-12-23,LREN3,11.614126,0,0.517864,1,0
2024-12-26,LREN3,11.568148,0,0.50639015,1,0
2024-12-27,LREN3,11.391606,0,0.502436,1,0
2024-12-30,LREN3,11.298385,0,0.5065987,1,0
2025-01-02,LREN3,11.186521,1,0.48960763,0,0
2025-01-03,LREN3,11.32635,1,0.49298286,0,0
2025-01-06,LREN3,11.680591,1,0.48616603,0,0
2025-01-07,LREN3,12.183985,0,0.49607018,0,1
2025-01-08,LREN3,11.997541,1,0.49784744,0,0
2025-01-09,LREN3,12.118731,0,0.488194,0,1
2025-01-10,LREN3,11.969576,0,0.5005489,1,0
2025-01-13,LREN3,11.978898,0,0.4995353,0,1
2025-01-14,LREN3,11.755167,1,0.51478386,1,1
2025-01-15,LREN3,12.305171,0,0.50348943,1,0
2025-01-16,LREN3,11.568726,0,0.49712828,0,1
2025-01-17,LREN3,11.494149,1,0.5009256,1,1
2025-01-20,LREN3,11.559403,1,0.5009256,1,1
2025-01-21,LREN3,11.671269,1,0.4992727,0,0
2025-01-22,LREN3,12.239917,0,0.48687044,0,1
2025-01-23,LREN3,12.118731,1,0.5048805,1,1
2025-01-24,LREN3,12.277206,1,0.49209952,0,0
2025-01-27,LREN3,12.724666,0,0.49180952,0,1
2025-01-28,LREN3,12.51958,1,0.48023072,0,0
2025-01-29,LREN3,12.482291,1,0.49315083,0,0
2025-01-30,LREN3,12.95772,0,0.49676087,0,1
2025-01-31,LREN3,12.724666,0,0.4820167,0,1
2025-02-03,LREN3,12.640767,0,0.51647604,1,0
2025-02-04,LREN3,12.286527,0,0.4949391,0,1
2025-02-05,LREN3,12.137374,1,0.50649554,1,1
2025-02-06,LREN3,12.417037,0,0.48281077,0,1
2025-02-07,LREN3,11.960255,1,0.52373564,1,1
2025-02-10,LREN3,12.221272,1,0.5000538,1,1
2025-02-11,LREN3,12.361105,0,0.4997639,0,1
2025-02-12,LREN3,11.857711,1,0.4989592,0,0
2025-02-13,LREN3,12.21195,1,0.5020974,1,1
2025-02-14,LREN3,12.724666,1,0.49614644,0,0
2025-02-17,LREN3,13.1534815,0,0.518297,1,0
2025-02-18,LREN3,13.09755,0,0.481957,0,1
2025-02-19,LREN3,12.622123,1,0.50104517,1,1
2025-02-20,LREN3,12.780599,0,0.49929956,0,1
2025-02-21,LREN3,10.990755,0,0.5184347,1,0
2025-02-24,LREN3,10.440751,1,0.49915254,0,0
2025-02-25,LREN3,10.543296,0,0.4871904,0,1
2025-02-26,LREN3,10.07719,1,0.4925586,0,0
2025-02-27,LREN3,10.515328,1,0.47167602,0,0
2025-02-28,LREN3,10.561939,0,0.47167602,0,1
2025-03-05,LREN3,10.440751,1,0.51454544,1,1
2025-03-06,LREN3,10.645838,1,0.4726063,0,0
2025-03-07,LREN3,11.111943,0,0.4756384,0,1
2025-03-10,LREN3,11.05601,0,0.4807636,0,1
2025-03-11,LREN3,10.906856,1,0.48820347,0,0
2025-03-12,LREN3,11.27974,0,0.47561952,0,1
2025-03-13,LREN3,10.813637,1,0.5297417,1,1
2025-03-14,LREN3,11.214485,1,0.51177824,1,1
2025-03-17,LREN3,11.652626,0,0.4817566,0,1
2025-03-18,LREN3,11.503471,0,0.48647785,0,1
2025-03-19,LREN3,11.559403,0,0.49933583,0,1
2025-03-20,LREN3,11.177197,1,0.49736252,0,0
2025-03-21,LREN3,11.578048,1,0.48182854,0,0
2025-03-24,LREN3,11.512793,1,0.48943144,0,0
2025-03-25,LREN3,11.801778,1,0.50456333,1,1
2025-03-26,LREN3,11.951051,1,0.4930911,0,0
2025-03-27,LREN3,12.092986,0,0.4899426,0,1
2025-03-28,LREN3,11.865888,0,0.5083895,1,0
2025-03-31,LREN3,11.572553,1,0.5078854,1,1
2025-04-01,LREN3,11.932125,1,0.48696142,0,0
2025-04-02,LREN3,12.272773,1,0.47702742,0,0
2025-04-03,LREN3,12.547182,0,0.4837514,0,1
2025-04-04,LREN3,11.9699745,0,0.510413,1,0
2025-04-07,LREN3,11.468465,1,0.51356053,1,1
2025-04-08,LREN3,11.345454,1,0.4986829,0,0
2025-04-09,LREN3,12.074061,1,0.48687336,0,0
2025-04-10,LREN3,11.9889,0,0.49375376,0,1
2025-04-11,LREN3,12.111912,1,0.49517483,0,0
2025-04-14,LREN3,12.310621,0,0.5083027,1,0
2025-04-15,LREN3,12.111912,0,0.50095403,1,0
2025-04-16,LREN3,11.960513,1,0.5099273,1,1
2025-04-17,LREN3,12.111912,0,0.5055,1,0
2025-04-22,LREN3,12.121375,0,0.5028602,1,0
2025-04-23,LREN3,12.215998,1,0.5203367,1,1
2025-04-24,LREN3,12.916218,1,0.48681968,0,0
2025-04-25,LREN3,13.096004,1,0.48996738,0,0
2025-04-28,LREN3,13.531277,1,0.48946017,0,0
2025-04-29,LREN3,13.758374,1,0.4964919,0,0
2025-04-30,LREN3,13.824612,1,0.4917553,0,0
2025-05-02,LREN3,14.080097,0,0.5139098,1,0
2025-05-05,LREN3,13.862461,0,0.5001294,1,0
2025-05-06,LREN3,13.54074,1,0.51339877,1,1
2025-05-07,LREN3,13.597513,1,0.50416404,1,1
2025-05-08,LREN3,14.609993,1,0.5076896,1,1
2025-05-09,LREN3,15.329139,1,0.48784432,0,0
2025-05-12,LREN3,15.5657,1,0.48784432,0,0
2025-05-13,LREN3,15.944198,1,0.5034566,1,1
2025-05-14,LREN3,15.925273,1,0.5034566,1,1
2025-05-15,LREN3,16.483553,1,0.49176997,0,0
2025-05-16,LREN3,16.58764,1,0.49240756,0,0
2025-05-19,LREN3,17.022915,1,0.49176997,0,0
2025-05-20,LREN3,17.316248,0,0.5005527,1,0
2025-05-21,LREN3,16.663342,1,0.49571142,0,0
2025-05-22,LREN3,16.720116,0,0.49406546,0,1
2025-05-23,LREN3,16.65388,1,0.48922545,0,0
2025-05-26,LREN3,16.78635,1,0.49406546,0,0
2025-05-27,LREN3,16.985065,1,0.49240756,0,0
2025-05-28,LREN3,17.193237,0,0.48900026,0,1
2025-05-29,LREN3,16.994524,1,0.48963773,0,0
2025-05-30,LREN3,17.183775,1,0.49011979,0,0
2025-06-02,LREN3,17.36356,1,0.48794273,0,0
2025-06-03,LREN3,17.798832,0,0.48161796,0,1
2025-06-04,LREN3,17.429796,1,0.49118605,0,0
2025-06-05,LREN3,17.429796,0,0.48470235,0,1
2025-06-06,LREN3,16.61603,1,0.49475858,0,0
2025-06-09,LREN3,16.92829,1,0.4778347,0,0
2025-06-10,LREN3,17.325708,1,0.4778347,0,0
2025-06-11,LREN3,17.477108,0,0.48186293,0,1
2025-06-12,LREN3,17.448723,0,0.48424596,0,1
2025-06-13,LREN3,17.373022,1,0.4892454,0,0
2025-06-16,LREN3,17.808294,0,0.5034566,1,0
2025-06-17,LREN3,17.647434,1,0.5034566,1,1
2025-06-18,LREN3,17.71367,1,0.5034566,1,1
2025-06-20,LREN3,17.562271,1,0.49240756,0,0
2025-06-23,LREN3,17.988081,1,0.49037457,0,0
2025-06-24,LREN3,18.25303,0,0.49037457,0,1
2025-06-25,LREN3,17.969156,1,0.49037457,0,0
2025-06-26,LREN3,18.48013,1,0.49077654,0,0
2025-06-27,LREN3,18.508514,0,0.48429307,0,1
2025-06-30,LREN3,18.622065,0,0.4946007,0,1
2025-07-01,LREN3,18.593678,0,0.501088,1,0
2025-07-02,LREN3,17.978619,1,0.48037764,0,0
2025-07-03,LREN3,18.450182,0,0.47899812,0,1
2025-07-04,LREN3,18.498005,1,0.4912953,0,0
2025-07-07,LREN3,18.440617,1,0.49532932,0,0
2025-07-08,LREN3,18.459743,1,0.49169335,0,0
2025-07-09,LREN3,18.555391,0,0.480802,0,1
2025-07-10,LREN3,18.32584,0,0.49388105,0,1
2025-07-11,LREN3,17.885868,0,0.48891136,0,1
2025-07-14,LREN3,17.378942,1,0.49463215,0,0
2025-07-15,LREN3,17.732834,0,0.49590325,0,1
2025-07-16,LREN3,17.751963,1,0.49517173,0,0
2025-07-17,LREN3,17.904997,0,0.49299085,0,1
2025-07-18,LREN3,16.958097,0,0.50086683,1,0
2025-07-21,LREN3,16.709415,0,0.4857036,0,1
2025-07-22,LREN3,16.661592,1,0.5025176,1,1
2025-07-23,LREN3,16.86245,0,0.4953506,0,1
2025-07-24,LREN3,16.336395,0,0.5055083,1,0
2025-07-25,LREN3,15.992069,0,0.50222903,1,0
2025-07-28,LREN3,15.657308,0,0.49243703,0,1
2025-07-29,LREN3,15.638179,1,0.48962158,0,0
2025-07-30,LREN3,16.030327,0,0.48879647,0,1
2025-07-31,LREN3,15.561661,1,0.4857036,0,0
2025-08-01,LREN3,15.772082,1,0.4953506,0,0
2025-08-04,LREN3,16.135538,0,0.4847028,0,1
2025-08-05,LREN3,16.154669,1,0.4954927,0,0
2025-08-06,LREN3,16.996357,1,0.49317628,0,0
2025-08-07,LREN3,17.254602,0,0.50886005,1,0
2025-08-08,LREN3,16.001635,0,0.5160822,1,0
2025-08-11,LREN3,15.705131,1,0.5127915,1,1
2025-08-12,LREN3,15.992069,0,0.5187134,1,0
2025-08-13,LREN3,15.389497,0,0.4989592,0,1
2025-08-14,LREN3,15.322546,1,0.50802875,1,1
2025-08-15,LREN3,15.427755,0,0.5086091,1,0
2025-08-18,LREN3,15.504272,1,0.5072412,1,1
2025-08-19,LREN3,15.179075,0,0.4836835,0,1
2025-08-20,LREN3,15.026041,0,0.49594897,0,1
2025-08-21,LREN3,14.7677965,1,0.48706388,0,0
2025-08-22,LREN3,15.217335,0,0.49631578,0,1
2025-08-25,LREN3,15.159947,0,0.48940217,0,1
2025-08-26,LREN3,14.968653,1,0.4728362,0,0
2025-08-27,LREN3,15.293851,0,0.50939524,1,0
2025-08-28,LREN3,15.47558,1,0.5045003,1,1
2025-08-29,LREN3,15.552095,1,0.48514774,0,0
2025-09-01,LREN3,15.532967,0,0.49198303,0,1
2025-09-02,LREN3,15.389497,0,0.4861605,0,1
2025-09-03,LREN3,15.33211,0,0.47520512,0,1
2025-09-04,LREN3,15.4086275,1,0.4890996,0,0
2025-09-05,LREN3,15.638179,0,0.5210713,1,0
2025-09-08,LREN3,15.179075,0,0.49866307,0,1
2025-09-09,LREN3,14.911265,1,0.49822095,0,0
2025-09-10,LREN3,15.265158,1,0.49318898,0,0
2025-09-11,LREN3,15.47558,0,0.4825955,0,1
2025-09-12,LREN3,15.159947,1,0.48486945,0,0
2025-09-15,LREN3,15.513838,1,0.49689117,0,0
2025-09-16,LREN3,16.164234,0,0.51437396,1,0
2025-09-17,LREN3,16.279009,1,0.51437396,1,1
2025-09-18,LREN3,16.307703,0,0.4899226,0,1
2025-09-19,LREN3,16.183361,0,0.5040775,1,0
2025-09-22,LREN3,15.561661,0,0.503375,1,0
2025-09-23,LREN3,15.226899,1,0.5279638,1,1
2025-09-24,LREN3,15.459397,0,0.5239075,1,0
2025-09-25,LREN3,15.246031,1,0.5032892,1,1
2025-09-26,LREN3,15.343015,0,0.506691,1,0
2025-09-29,LREN3,15.284824,0,0.50093126,1,0
2025-09-30,LREN3,14.67382,1,0.5032892,1,1
2025-10-01,LREN3,14.693216,0,0.47480962,0,1
2025-10-02,LREN3,14.353769,0,0.5111162,1,0
2025-10-03,LREN3,14.256784,0,0.5111162,1,0
2025-10-06,LREN3,13.956132,0,0.5325835,1,0
2025-10-07,LREN3,13.160854,1,0.50409406,1,1
2025-10-08,LREN3,13.393619,1,0.4977873,0,0
2025-10-09,LREN3,13.422714,1,0.4926404,0,0
2025-10-10,LREN3,13.558493,1,0.49166897,0,0
2025-10-13,LREN3,13.713669,1,0.49716133,0,0
2025-10-14,LREN3,13.888242,0,0.4943428,0,1
