feature,grupo,janela,importance
trend_mercado_14d,trend_mercado,14d,0.024355013
beta_3d,beta,3d,0.023477985
z_alpha_63d,z_alpha,63d,0.023057815
spread_vol_5d,spread_vol,5d,0.02288203
z_alpha_42d,z_alpha,42d,0.022285623
z_mercado_63d,z_mercado,63d,0.020997118
trend_mercado_21d,trend_mercado,21d,0.020882782
z_mercado_3d,z_mercado,3d,0.02076579
spread_vol_14d,spread_vol,14d,0.020668194
dist_sma_63d,dist_sma,63d,0.020660236
dist_sma_42d,dist_sma,42d,0.020234417
risco_mercado_63d,risco_mercado,63d,0.020184262
dist_sma_5d,dist_sma,5d,0.02018239
spread_volratio_3d,spread_volratio,3d,0.02011637
dist_sma_21d,dist_sma,21d,0.020059027
dist_sma_3d,dist_sma,3d,0.0198989
z_alpha_21d,z_alpha,21d,0.019895693
beta_14d,beta,14d,0.019546745
spread_retorno_63d,spread_retorno,63d,0.019452263
spread_vol_42d,spread_vol,42d,0.019334229
z_alpha_5d,z_alpha,5d,0.0192971
beta_42d,beta,42d,0.019193593
spread_volratio_21d,spread_volratio,21d,0.01907747
spread_volratio_14d,spread_volratio,14d,0.018954393
z_mercado_21d,z_mercado,21d,0.018910954
trend_mercado_63d,trend_mercado,63d,0.018709164
beta_5d,beta,5d,0.018573163
spread_retorno_42d,spread_retorno,42d,0.018422253
risco_mercado_3d,risco_mercado,3d,0.018338738
trend_mercado_42d,trend_mercado,42d,0.018324487
spread_volratio_42d,spread_volratio,42d,0.018210676
risco_mercado_5d,risco_mercado,5d,0.018130124
risco_mercado_14d,risco_mercado,14d,0.018074457
beta_21d,beta,21d,0.017961595
spread_vol_21d,spread_vol,21d,0.017912013
dist_sma_14d,dist_sma,14d,0.01787603
z_mercado_42d,z_mercado,42d,0.01776088
beta_63d,beta,63d,0.01754456
spread_vol_3d,spread_vol,3d,0.017509013
trend_mercado_3d,trend_mercado,3d,0.017185144
spread_volratio_63d,spread_volratio,63d,0.017088206
z_alpha_14d,z_alpha,14d,0.016687158
z_alpha_3d,z_alpha,3d,0.016678698
spread_retorno_21d,spread_retorno,21d,0.01666053
spread_vol_63d,spread_vol,63d,0.016592452
spread_volratio_5d,spread_volratio,5d,0.016250543
z_mercado_14d,z_mercado,14d,0.016120939
spread_retorno_3d,spread_retorno,3d,0.015576986
trend_mercado_5d,trend_mercado,5d,0.015126131
spread_retorno_5d,spread_retorno,5d,0.0150457015
risco_mercado_21d,risco_mercado,21d,0.014523779
spread_retorno_14d,spread_retorno,14d,0.013243155
risco_mercado_42d,risco_mercado,42d,0.013220738
z_mercado_5d,z_mercado,5d,0.012282322
