date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,MGLU3,11.917684,0,0.50314,1,0
2024-08-30,MGLU3,11.242749,0,0.5015131,1,0
2024-09-02,MGLU3,11.067081,0,0.4742057,0,1
2024-09-03,MGLU3,10.798956,1,0.47888613,0,0
2024-09-04,MGLU3,11.131801,1,0.4659788,0,0
2024-09-05,MGLU3,11.372189,0,0.48204008,0,1
2024-09-06,MGLU3,10.909905,0,0.50143963,1,0
2024-09-09,MGLU3,10.651026,0,0.50143963,1,0
2024-09-10,MGLU3,10.475358,0,0.528762,1,0
2024-09-11,MGLU3,10.419884,0,0.44487843,0,1
2024-09-12,MGLU3,10.327427,1,0.4724076,0,0
2024-09-13,MGLU3,10.724992,1,0.45264542,0,0
2024-09-16,MGLU3,10.808203,1,0.46524104,0,0
2024-09-17,MGLU3,10.9838705,0,0.45264542,0,1
2024-09-18,MGLU3,10.651026,0,0.50143963,1,0
2024-09-19,MGLU3,10.318181,0,0.47560734,0,1
2024-09-20,MGLU3,9.569281,0,0.4682313,0,1
2024-09-23,MGLU3,9.2641735,1,0.4682313,0,0
2024-09-24,MGLU3,9.421349,0,0.45788544,0,1
2024-09-25,MGLU3,9.245683,0,0.52138126,1,0
2024-09-26,MGLU3,9.060768,1,0.47937337,0,0
2024-09-27,MGLU3,9.245683,0,0.44532308,0,1
2024-09-30,MGLU3,8.968312,0,0.4940405,0,1
2024-10-01,MGLU3,8.986802,1,0.49832064,0,0
2024-10-02,MGLU3,9.106997,1,0.44532308,0,0
2024-10-03,MGLU3,8.996049,0,0.44532308,0,1
2024-10-04,MGLU3,8.940575,0,0.44532308,0,1
2024-10-07,MGLU3,8.792644,1,0.4940405,0,0
2024-10-08,MGLU3,8.848118,0,0.45788544,0,1
2024-10-09,MGLU3,8.543011,0,0.5050435,1,0
2024-10-10,MGLU3,8.515273,1,0.4728563,0,0
2024-10-11,MGLU3,8.73717,1,0.4728563,0,0
2024-10-14,MGLU3,9.060768,0,0.44532308,0,1
2024-10-15,MGLU3,8.968312,1,0.45788544,0,0
2024-10-16,MGLU3,9.060768,0,0.45788544,0,1
2024-10-17,MGLU3,8.848118,0,0.47937337,0,1
2024-10-18,MGLU3,8.690941,1,0.50671536,1,1
2024-10-21,MGLU3,8.940575,0,0.44532308,0,1
2024-10-22,MGLU3,8.598484,0,0.47937337,0,1
2024-10-23,MGLU3,8.459799,1,0.52138126,1,1
2024-10-24,MGLU3,8.764907,0,0.45788544,0,1
2024-10-25,MGLU3,8.441308,1,0.4682313,0,0
2024-10-28,MGLU3,8.75566,0,0.44532308,0,1
2024-10-29,MGLU3,8.533765,1,0.4682313,0,0
2024-10-30,MGLU3,8.8758545,0,0.44532308,0,1
2024-10-31,MGLU3,8.746415,0,0.4483338,0,1
2024-11-01,MGLU3,8.191674,1,0.47008502,0,0
2024-11-04,MGLU3,9.042277,1,0.45237282,0,0
2024-11-05,MGLU3,9.22719,0,0.45237282,0,1
2024-11-06,MGLU3,8.996049,0,0.47008502,0,1
2024-11-07,MGLU3,8.67245,1,0.47008502,0,0
2024-11-08,MGLU3,8.8758545,0,0.47996482,0,1
2024-11-11,MGLU3,8.690941,0,0.47008502,0,1
2024-11-12,MGLU3,8.533765,1,0.47008502,0,0
2024-11-13,MGLU3,8.5615015,0,0.47996482,0,1
2024-11-14,MGLU3,8.321114,1,0.47008502,0,0
2024-11-18,MGLU3,8.533765,1,0.45237282,0,0
2024-11-19,MGLU3,8.67245,0,0.44243452,0,1
2024-11-21,MGLU3,8.450552,1,0.47008502,0,0
2024-11-22,MGLU3,8.709432,1,0.46157828,0,0
2024-11-25,MGLU3,9.254928,1,0.43352926,0,0
2024-11-26,MGLU3,9.837406,0,0.48318624,0,1
2024-11-27,MGLU3,8.912837,0,0.49302885,0,1
2024-11-28,MGLU3,8.311868,0,0.52823275,1,0
2024-11-29,MGLU3,8.348851,1,0.5191843,1,1
2024-12-02,MGLU3,8.506027,1,0.5191843,1,1
2024-12-03,MGLU3,8.60773,0,0.46800226,0,1
2024-12-04,MGLU3,8.543011,0,0.5170715,1,0
2024-12-05,MGLU3,8.496781,0,0.48318624,0,1
2024-12-06,MGLU3,7.8958125,0,0.47008502,0,1
2024-12-09,MGLU3,7.8218465,1,0.50102866,1,1
2024-12-10,MGLU3,8.062234,1,0.46157828,0,0
2024-12-11,MGLU3,8.515273,0,0.49813008,0,1
2024-12-12,MGLU3,7.7478814,0,0.4793354,0,1
2024-12-13,MGLU3,7.581459,0,0.45237282,0,1
2024-12-16,MGLU3,7.1746497,0,0.48106182,0,1
2024-12-17,MGLU3,6.906524,0,0.50102866,1,0
2024-12-18,MGLU3,6.2130985,1,0.5120298,1,1
2024-12-19,MGLU3,6.592171,1,0.5000733,1,1
2024-12-20,MGLU3,6.749347,0,0.4514473,0,1
2024-12-23,MGLU3,6.453486,0,0.50134164,1,0
2024-12-26,MGLU3,6.03743,1,0.49033937,0,0
2024-12-27,MGLU3,6.018939,0,0.4904663,0,1
2024-12-30,MGLU3,6.009693,0,0.501879,1,0
2025-01-02,MGLU3,5.944973,0,0.49276376,0,1
2025-01-03,MGLU3,5.7877965,1,0.52866435,1,1
2025-01-06,MGLU3,6.1483784,0,0.4614206,0,1
2025-01-07,MGLU3,6.1021504,0,0.51768494,1,0
2025-01-08,MGLU3,5.7045856,0,0.49033937,0,1
2025-01-09,MGLU3,5.5566545,1,0.50102866,1,1
2025-01-10,MGLU3,5.575146,0,0.45974275,0,1
2025-01-13,MGLU3,5.371741,1,0.49033937,0,0
2025-01-14,MGLU3,5.4641976,1,0.501879,1,1
2025-01-15,MGLU3,5.889499,0,0.501879,1,0
2025-01-16,MGLU3,5.491935,1,0.49033937,0,0
2025-01-17,MGLU3,5.602883,1,0.49276376,0,0
2025-01-20,MGLU3,5.6491113,1,0.5044074,1,1
2025-01-21,MGLU3,5.6953397,1,0.5309177,1,1
2025-01-22,MGLU3,5.889499,0,0.50191987,1,0
2025-01-23,MGLU3,5.815534,1,0.52154225,1,1
2025-01-24,MGLU3,5.889499,1,0.50191987,1,1
2025-01-27,MGLU3,6.4812226,0,0.4982412,0,1
2025-01-28,MGLU3,6.250081,0,0.49156317,0,1
2025-01-29,MGLU3,6.092904,1,0.49156317,0,0
2025-01-30,MGLU3,6.7216105,1,0.4899236,0,0
2025-01-31,MGLU3,6.8972783,0,0.48374945,0,1
2025-02-03,MGLU3,6.675382,1,0.48374945,0,0
2025-02-04,MGLU3,6.693874,0,0.48012602,0,1
2025-02-05,MGLU3,6.3610287,1,0.5191853,1,1
2025-02-06,MGLU3,6.832559,0,0.44941738,0,1
2025-02-07,MGLU3,6.5366974,1,0.49679795,0,0
2025-02-10,MGLU3,6.7123647,0,0.49679795,0,1
2025-02-11,MGLU3,6.7216105,0,0.49679795,0,1
2025-02-12,MGLU3,6.5551877,0,0.5002638,1,0
2025-02-13,MGLU3,6.4812226,1,0.5086343,1,1
2025-02-14,MGLU3,6.823313,1,0.5166384,1,1
2025-02-17,MGLU3,7.359563,0,0.5367401,1,0
2025-02-18,MGLU3,7.100683,0,0.52453274,1,0
2025-02-19,MGLU3,6.8880334,0,0.47019997,0,1
2025-02-20,MGLU3,6.814067,0,0.51558465,1,0
2025-02-21,MGLU3,6.7308564,0,0.51157695,1,0
2025-02-24,MGLU3,6.3517838,1,0.49503168,0,0
2025-02-25,MGLU3,6.823313,1,0.5217159,1,1
2025-02-26,MGLU3,6.8048215,0,0.5257175,1,0
2025-02-27,MGLU3,6.758593,0,0.5272317,1,0
2025-02-28,MGLU3,6.610662,1,0.5124869,1,1
2025-03-05,MGLU3,6.7308564,0,0.5007401,1,0
