feature,grupo,janela,importance
z_mercado_63d,z_mercado,63d,0.03269164
z_alpha_42d,z_alpha,42d,0.02799358
z_mercado_3d,z_mercado,3d,0.024822645
trend_mercado_5d,trend_mercado,5d,0.024054497
spread_retorno_3d,spread_retorno,3d,0.02389329
z_mercado_5d,z_mercado,5d,0.023822665
risco_mercado_5d,risco_mercado,5d,0.023696888
spread_retorno_14d,spread_retorno,14d,0.022572666
spread_volratio_3d,spread_volratio,3d,0.021803377
z_alpha_14d,z_alpha,14d,0.021538706
dist_sma_5d,dist_sma,5d,0.02142814
z_alpha_63d,z_alpha,63d,0.021302134
risco_mercado_21d,risco_mercado,21d,0.021011626
risco_mercado_63d,risco_mercado,63d,0.020607919
z_mercado_42d,z_mercado,42d,0.020552827
beta_5d,beta,5d,0.02030823
z_alpha_5d,z_alpha,5d,0.020205209
beta_3d,beta,3d,0.020094452
spread_volratio_21d,spread_volratio,21d,0.019961197
dist_sma_21d,dist_sma,21d,0.019922135
spread_volratio_63d,spread_volratio,63d,0.019869553
z_mercado_21d,z_mercado,21d,0.019687802
z_alpha_21d,z_alpha,21d,0.019532721
risco_mercado_3d,risco_mercado,3d,0.019337224
dist_sma_14d,dist_sma,14d,0.019262437
trend_mercado_3d,trend_mercado,3d,0.019116914
trend_mercado_63d,trend_mercado,63d,0.018643158
spread_vol_42d,spread_vol,42d,0.018297011
spread_volratio_42d,spread_volratio,42d,0.01813708
spread_vol_5d,spread_vol,5d,0.017843898
spread_retorno_5d,spread_retorno,5d,0.017777503
spread_vol_3d,spread_vol,3d,0.01760972
dist_sma_63d,dist_sma,63d,0.017472507
dist_sma_42d,dist_sma,42d,0.017272986
spread_vol_63d,spread_vol,63d,0.017036457
beta_42d,beta,42d,0.016964026
trend_mercado_21d,trend_mercado,21d,0.016768238
beta_21d,beta,21d,0.01675709
spread_retorno_63d,spread_retorno,63d,0.016712377
spread_retorno_42d,spread_retorno,42d,0.016573258
spread_volratio_5d,spread_volratio,5d,0.016163161
z_mercado_14d,z_mercado,14d,0.015843937
risco_mercado_14d,risco_mercado,14d,0.01575909
beta_63d,beta,63d,0.015752783
beta_14d,beta,14d,0.01564207
spread_vol_14d,spread_vol,14d,0.015356025
spread_retorno_21d,spread_retorno,21d,0.015241774
spread_vol_21d,spread_vol,21d,0.014556494
trend_mercado_42d,trend_mercado,42d,0.014469944
dist_sma_3d,dist_sma,3d,0.014467626
z_alpha_3d,z_alpha,3d,0.014365627
trend_mercado_14d,trend_mercado,14d,0.011426989
risco_mercado_42d,risco_mercado,42d,0.007998691
spread_volratio_14d,spread_volratio,14d,0.0
