date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,PETR3,36.037617,1,0.50975686,1,1
2024-08-30,PETR3,36.1724,1,0.50975686,1,1
2024-09-02,PETR3,36.02077,0,0.50975686,1,0
2024-09-03,PETR3,35.641693,0,0.50975686,1,0
2024-09-04,PETR3,35.506912,0,0.4969279,0,1
2024-09-05,PETR3,35.29631,0,0.4969279,0,1
2024-09-06,PETR3,34.64767,1,0.4969279,0,0
2024-09-09,PETR3,35.11099,0,0.49063516,0,1
2024-09-10,PETR3,34.36126,1,0.4969279,0,0
2024-09-11,PETR3,34.51289,0,0.4969279,0,1
2024-09-12,PETR3,34.10854,0,0.50975686,1,0
2024-09-13,PETR3,34.007446,1,0.4969279,0,0
2024-09-16,PETR3,34.34441,0,0.49063516,0,1
2024-09-17,PETR3,34.133812,0,0.50975686,1,0
2024-09-18,PETR3,33.544136,1,0.4969279,0,0
2024-09-19,PETR3,33.443047,1,0.50975686,1,1
2024-09-20,PETR3,33.443047,1,0.49063516,0,0
2024-09-23,PETR3,33.864243,0,0.49063516,0,1
2024-09-24,PETR3,34.116962,1,0.50975686,1,1
2024-09-25,PETR3,34.14223,0,0.50975686,1,0
2024-09-26,PETR3,33.426197,0,0.50975686,1,0
2024-09-27,PETR3,33.291412,1,0.4969279,0,0
2024-09-30,PETR3,33.080814,1,0.4969279,0,0
2024-10-01,PETR3,33.965332,1,0.49063516,0,0
2024-10-02,PETR3,34.36126,1,0.50975686,1,1
2024-10-03,PETR3,34.82457,0,0.49063516,0,1
2024-10-04,PETR3,34.84142,1,0.50975686,1,1
2024-10-07,PETR3,35.4311,0,0.50975686,1,0
2024-10-08,PETR3,34.66452,1,0.50975686,1,1
2024-10-09,PETR3,34.394955,1,0.50975686,1,1
2024-10-10,PETR3,34.967777,1,0.50975686,1,1
2024-10-11,PETR3,34.90881,0,0.50975686,1,0
2024-10-14,PETR3,34.84984,0,0.50975686,1,0
2024-10-15,PETR3,34.453915,0,0.50975686,1,0
2024-10-16,PETR3,34.352833,1,0.50975686,1,1
2024-10-17,PETR3,34.19278,0,0.49063516,0,1
2024-10-18,PETR3,34.007446,0,0.4969279,0,1
2024-10-21,PETR3,33.384083,1,0.4969279,0,0
2024-10-22,PETR3,33.224026,0,0.4969279,0,1
2024-10-23,PETR3,32.752285,0,0.48004985,0,1
