feature,grupo,janela,importance
z_alpha_14d,z_alpha,14d,0.024095573
spread_volratio_5d,spread_volratio,5d,0.022950131
dist_sma_3d,dist_sma,3d,0.02286207
beta_63d,beta,63d,0.022718905
risco_mercado_3d,risco_mercado,3d,0.022481484
beta_14d,beta,14d,0.021747237
z_mercado_3d,z_mercado,3d,0.021302776
z_alpha_42d,z_alpha,42d,0.02115943
z_mercado_5d,z_mercado,5d,0.021143269
z_alpha_21d,z_alpha,21d,0.021059146
trend_mercado_42d,trend_mercado,42d,0.021049496
z_mercado_21d,z_mercado,21d,0.02038536
spread_volratio_63d,spread_volratio,63d,0.020306895
spread_retorno_21d,spread_retorno,21d,0.019984866
trend_mercado_5d,trend_mercado,5d,0.019873528
trend_mercado_63d,trend_mercado,63d,0.019810986
z_alpha_5d,z_alpha,5d,0.019720117
beta_42d,beta,42d,0.019715982
spread_vol_42d,spread_vol,42d,0.01962314
z_mercado_42d,z_mercado,42d,0.019349838
risco_mercado_42d,risco_mercado,42d,0.019239545
spread_retorno_3d,spread_retorno,3d,0.019224977
dist_sma_5d,dist_sma,5d,0.019186612
dist_sma_21d,dist_sma,21d,0.018979212
spread_retorno_5d,spread_retorno,5d,0.018872106
beta_3d,beta,3d,0.018856743
z_alpha_3d,z_alpha,3d,0.018823413
trend_mercado_14d,trend_mercado,14d,0.018686824
risco_mercado_21d,risco_mercado,21d,0.01844882
dist_sma_14d,dist_sma,14d,0.018391026
beta_21d,beta,21d,0.018165754
spread_volratio_21d,spread_volratio,21d,0.018160654
spread_vol_21d,spread_vol,21d,0.017974092
spread_volratio_3d,spread_volratio,3d,0.017690055
spread_retorno_63d,spread_retorno,63d,0.017643716
risco_mercado_63d,risco_mercado,63d,0.017602142
trend_mercado_3d,trend_mercado,3d,0.0174949
spread_vol_5d,spread_vol,5d,0.017467152
z_alpha_63d,z_alpha,63d,0.017385023
dist_sma_63d,dist_sma,63d,0.017320361
spread_vol_14d,spread_vol,14d,0.017320123
spread_retorno_42d,spread_retorno,42d,0.016690813
spread_vol_63d,spread_vol,63d,0.016532026
beta_5d,beta,5d,0.01633403
z_mercado_63d,z_mercado,63d,0.016286964
risco_mercado_14d,risco_mercado,14d,0.015845755
spread_retorno_14d,spread_retorno,14d,0.015742622
z_mercado_14d,z_mercado,14d,0.015724258
risco_mercado_5d,risco_mercado,5d,0.014842401
spread_vol_3d,spread_vol,3d,0.014740207
trend_mercado_21d,trend_mercado,21d,0.014715759
dist_sma_42d,dist_sma,42d,0.013980297
spread_volratio_14d,spread_volratio,14d,0.012325252
spread_volratio_42d,spread_volratio,42d,0.011966162
