date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,PRIO3,46.73,1,0.5170913,1,1
2024-08-30,PRIO3,46.84,1,0.47797346,0,0
2024-09-02,PRIO3,46.71,0,0.4927699,0,1
2024-09-03,PRIO3,44.3,0,0.55699456,1,0
2024-09-04,PRIO3,43.72,0,0.56072754,1,0
2024-09-05,PRIO3,43.52,0,0.577184,1,0
2024-09-06,PRIO3,42.46,0,0.52149993,1,0
2024-09-09,PRIO3,41.96,1,0.5503343,1,1
2024-09-10,PRIO3,42.2,1,0.5201308,1,1
2024-09-11,PRIO3,42.53,0,0.5503343,1,0
2024-09-12,PRIO3,42.28,1,0.5486593,1,1
2024-09-13,PRIO3,43.31,0,0.515516,1,0
2024-09-16,PRIO3,42.74,1,0.5491114,1,1
2024-09-17,PRIO3,43.36,1,0.515516,1,1
2024-09-18,PRIO3,43.19,1,0.48983017,0,0
2024-09-19,PRIO3,44.01,1,0.5201308,1,1
2024-09-20,PRIO3,44.2,1,0.46492806,0,0
2024-09-23,PRIO3,44.58,1,0.504009,1,1
2024-09-24,PRIO3,46.54,0,0.49306306,0,1
2024-09-25,PRIO3,44.81,0,0.5573512,1,0
2024-09-26,PRIO3,42.64,1,0.4994395,0,0
2024-09-27,PRIO3,43.58,1,0.51963073,1,1
2024-09-30,PRIO3,43.33,1,0.5029175,1,1
2024-10-01,PRIO3,44.26,0,0.577184,1,0
2024-10-02,PRIO3,44.12,1,0.498967,0,0
2024-10-03,PRIO3,44.61,1,0.51963073,1,1
2024-10-04,PRIO3,44.81,1,0.5170913,1,1
2024-10-07,PRIO3,45.53,0,0.47048885,0,1
2024-10-08,PRIO3,44.11,1,0.44856343,0,0
2024-10-09,PRIO3,43.7,1,0.45308873,0,0
2024-10-10,PRIO3,44.88,0,0.41545153,0,1
2024-10-11,PRIO3,44.26,0,0.42068478,0,1
2024-10-14,PRIO3,43.43,0,0.4334945,0,1
2024-10-15,PRIO3,43.3,0,0.4539016,0,1
2024-10-16,PRIO3,42.77,1,0.47625452,0,0
2024-10-17,PRIO3,42.7,0,0.42741695,0,1
2024-10-18,PRIO3,42.18,0,0.47641936,0,1
2024-10-21,PRIO3,41.92,0,0.47641936,0,1
2024-10-22,PRIO3,41.61,0,0.46419433,0,1
2024-10-23,PRIO3,41.2,1,0.47750852,0,0
2024-10-24,PRIO3,41.96,0,0.4573172,0,1
2024-10-25,PRIO3,41.65,0,0.47832683,0,1
2024-10-28,PRIO3,40.95,0,0.4729502,0,1
2024-10-29,PRIO3,40.5,1,0.50917673,1,1
2024-10-30,PRIO3,41.21,1,0.47007486,0,0
2024-10-31,PRIO3,40.98,0,0.44483522,0,1
2024-11-01,PRIO3,39.85,1,0.44558844,0,0
2024-11-04,PRIO3,40.88,0,0.4973397,0,1
2024-11-05,PRIO3,40.33,1,0.495203,0,0
2024-11-06,PRIO3,40.89,0,0.47416824,0,1
2024-11-07,PRIO3,39.91,0,0.4634759,0,1
2024-11-08,PRIO3,38.97,1,0.41363472,0,0
2024-11-11,PRIO3,39.31,0,0.43947282,0,1
2024-11-12,PRIO3,39.2,1,0.44591367,0,0
2024-11-13,PRIO3,39.35,1,0.43947282,0,0
2024-11-14,PRIO3,39.7,1,0.40763515,0,0
2024-11-18,PRIO3,40.2,0,0.4146553,0,1
2024-11-19,PRIO3,39.77,0,0.4657024,0,1
2024-11-21,PRIO3,39.13,1,0.44591367,0,0
2024-11-22,PRIO3,40.4,0,0.44226262,0,1
2024-11-25,PRIO3,39.85,0,0.43128523,0,1
2024-11-26,PRIO3,39.85,1,0.53641385,1,1
2024-11-27,PRIO3,39.57,1,0.4573172,0,0
2024-11-28,PRIO3,39.47,1,0.4146553,0,0
2024-11-29,PRIO3,40.14,0,0.4390743,0,1
2024-12-02,PRIO3,40.0,1,0.4539016,0,0
2024-12-03,PRIO3,40.81,0,0.4894223,0,1
2024-12-04,PRIO3,39.71,1,0.44856343,0,0
2024-12-05,PRIO3,40.66,0,0.5077668,1,0
2024-12-06,PRIO3,39.7,0,0.47069353,0,1
2024-12-09,PRIO3,39.9,0,0.50360096,1,0
2024-12-10,PRIO3,40.05,1,0.4398822,0,0
2024-12-11,PRIO3,41.99,1,0.44226262,0,0
2024-12-12,PRIO3,41.05,1,0.4894223,0,0
2024-12-13,PRIO3,41.5,1,0.4728236,0,0
2024-12-16,PRIO3,41.15,0,0.45308873,0,1
2024-12-17,PRIO3,41.32,0,0.50360096,1,0
2024-12-18,PRIO3,39.92,0,0.45308873,0,1
2024-12-19,PRIO3,39.68,1,0.42068478,0,0
2024-12-20,PRIO3,40.27,0,0.41545153,0,1
2024-12-23,PRIO3,39.25,1,0.5065456,1,1
2024-12-26,PRIO3,39.9,1,0.4728236,0,0
2024-12-27,PRIO3,39.91,1,0.4146553,0,0
2024-12-30,PRIO3,40.15,1,0.44226262,0,0
2025-01-02,PRIO3,40.77,1,0.5207694,1,1
2025-01-03,PRIO3,40.62,0,0.5325732,1,0
2025-01-06,PRIO3,40.98,1,0.5325732,1,1
2025-01-07,PRIO3,41.63,1,0.5514034,1,1
2025-01-08,PRIO3,41.4,1,0.48998988,0,0
2025-01-09,PRIO3,41.96,1,0.4934811,0,0
2025-01-10,PRIO3,42.63,0,0.48998988,0,1
2025-01-13,PRIO3,42.53,0,0.5272031,1,0
2025-01-14,PRIO3,42.2,0,0.5272031,1,0
2025-01-15,PRIO3,43.0,0,0.4688542,0,1
2025-01-16,PRIO3,41.97,1,0.49967834,0,0
2025-01-17,PRIO3,42.71,0,0.5284208,1,0
2025-01-20,PRIO3,42.69,0,0.48998988,0,1
2025-01-21,PRIO3,42.72,0,0.5186359,1,0
2025-01-22,PRIO3,42.45,0,0.5186359,1,0
2025-01-23,PRIO3,41.48,0,0.44856343,0,1
2025-01-24,PRIO3,41.15,1,0.47069353,0,0
2025-01-27,PRIO3,42.1,0,0.44226262,0,1
2025-01-28,PRIO3,41.38,0,0.4634759,0,1
2025-01-29,PRIO3,40.42,0,0.5372019,1,0
2025-01-30,PRIO3,41.46,0,0.4921844,0,1
2025-01-31,PRIO3,40.99,1,0.49943298,0,0
2025-02-03,PRIO3,41.23,1,0.49943298,0,0
2025-02-04,PRIO3,41.23,0,0.464522,0,1
2025-02-05,PRIO3,40.34,1,0.4982116,0,0
2025-02-06,PRIO3,40.57,0,0.48217908,0,1
2025-02-07,PRIO3,39.62,1,0.4214843,0,0
2025-02-10,PRIO3,40.0,0,0.464522,0,1
2025-02-11,PRIO3,40.3,0,0.4573172,0,1
2025-02-12,PRIO3,39.51,0,0.4963519,0,1
2025-02-13,PRIO3,38.89,0,0.44856343,0,1
2025-02-14,PRIO3,39.43,0,0.495203,0,1
2025-02-17,PRIO3,39.12,0,0.56302094,1,0
2025-02-18,PRIO3,39.0,1,0.49999636,0,0
2025-02-19,PRIO3,39.01,0,0.46630475,0,1
2025-02-20,PRIO3,38.53,0,0.52402914,1,0
2025-02-21,PRIO3,37.7,0,0.50129604,1,0
2025-02-24,PRIO3,36.73,0,0.47625452,0,1
2025-02-25,PRIO3,36.66,0,0.579456,1,0
2025-02-26,PRIO3,36.17,1,0.489007,0,0
2025-02-27,PRIO3,38.2,1,0.44281852,0,0
2025-02-28,PRIO3,38.17,0,0.52672184,1,0
2025-03-05,PRIO3,37.37,1,0.4729502,0,0
2025-03-06,PRIO3,37.48,1,0.50566393,1,1
2025-03-07,PRIO3,38.32,0,0.51249623,1,0
2025-03-10,PRIO3,37.53,0,0.50353724,1,0
2025-03-11,PRIO3,37.16,0,0.5509653,1,0
2025-03-12,PRIO3,36.88,0,0.52402914,1,0
2025-03-13,PRIO3,36.5,1,0.58158815,1,1
2025-03-14,PRIO3,39.35,0,0.4696836,0,1
2025-03-17,PRIO3,39.7,0,0.492068,0,1
2025-03-18,PRIO3,39.65,0,0.459217,0,1
2025-03-19,PRIO3,39.27,1,0.459217,0,0
2025-03-20,PRIO3,39.28,0,0.5041643,1,0
2025-03-21,PRIO3,39.06,1,0.50129604,1,1
2025-03-24,PRIO3,39.5,0,0.44626778,0,1
2025-03-25,PRIO3,39.09,1,0.49148548,0,0
2025-03-26,PRIO3,40.62,0,0.4696836,0,1
2025-03-27,PRIO3,40.66,0,0.5244063,1,0
2025-03-28,PRIO3,40.14,1,0.5244063,1,1
2025-03-31,PRIO3,39.8,0,0.54270416,1,0
2025-04-01,PRIO3,40.06,0,0.5341838,1,0
2025-04-02,PRIO3,39.58,0,0.5264938,1,0
2025-04-03,PRIO3,36.83,0,0.55699456,1,0
2025-04-04,PRIO3,33.9,1,0.55079734,1,1
2025-04-07,PRIO3,34.51,0,0.5239712,1,0
2025-04-08,PRIO3,33.82,1,0.5511111,1,1
2025-04-09,PRIO3,35.8,0,0.54036176,1,0
2025-04-10,PRIO3,32.89,1,0.55079734,1,1
2025-04-11,PRIO3,34.33,0,0.5511111,1,0
2025-04-14,PRIO3,33.82,0,0.56150067,1,0
2025-04-15,PRIO3,33.03,1,0.5473176,1,1
2025-04-16,PRIO3,33.4,1,0.5239712,1,1
2025-04-17,PRIO3,34.56,0,0.456552,0,1
2025-04-22,PRIO3,34.58,0,0.49558097,0,1
2025-04-23,PRIO3,33.25,1,0.49019265,0,0
2025-04-24,PRIO3,34.51,1,0.4674793,0,0
2025-04-25,PRIO3,34.88,0,0.4674793,0,1
2025-04-28,PRIO3,33.81,1,0.51739556,1,1
2025-04-29,PRIO3,34.66,0,0.49715543,0,1
2025-04-30,PRIO3,33.71,1,0.459217,0,0
2025-05-02,PRIO3,36.43,0,0.47061104,0,1
2025-05-05,PRIO3,35.47,1,0.49169007,0,0
2025-05-06,PRIO3,36.97,0,0.52728355,1,0
2025-05-07,PRIO3,35.73,1,0.48918495,0,0
2025-05-08,PRIO3,36.66,0,0.5246105,1,0
2025-05-09,PRIO3,36.67,1,0.5246105,1,1
2025-05-12,PRIO3,38.56,1,0.47061104,0,0
2025-05-13,PRIO3,39.27,1,0.5246105,1,1
2025-05-14,PRIO3,39.2,0,0.55674326,1,0
2025-05-15,PRIO3,39.0,1,0.52402914,1,1
2025-05-16,PRIO3,39.43,0,0.47061104,0,1
2025-05-19,PRIO3,39.39,1,0.55674326,1,1
2025-05-20,PRIO3,39.74,1,0.51784253,1,1
2025-05-21,PRIO3,39.75,0,0.46508265,0,1
2025-05-22,PRIO3,38.98,0,0.55141693,1,0
2025-05-23,PRIO3,38.8,1,0.55674326,1,1
2025-05-26,PRIO3,39.05,0,0.5209753,1,0
2025-05-27,PRIO3,39.41,0,0.5526252,1,0
2025-05-28,PRIO3,39.2,1,0.48029855,0,0
2025-05-29,PRIO3,40.0,0,0.4279685,0,1
2025-05-30,PRIO3,38.95,1,0.5489362,1,1
2025-06-02,PRIO3,39.74,1,0.4733853,0,0
2025-06-03,PRIO3,40.95,1,0.52728355,1,1
2025-06-04,PRIO3,40.9,1,0.53291714,1,1
2025-06-05,PRIO3,41.05,1,0.49215847,0,0
2025-06-06,PRIO3,42.51,0,0.4927699,0,1
2025-06-09,PRIO3,42.15,1,0.56266296,1,1
2025-06-10,PRIO3,42.57,1,0.530267,1,1
2025-06-11,PRIO3,43.31,0,0.5465845,1,0
2025-06-12,PRIO3,43.22,1,0.5573512,1,1
2025-06-13,PRIO3,43.98,0,0.5201308,1,0
2025-06-16,PRIO3,43.18,1,0.530267,1,1
2025-06-17,PRIO3,44.03,0,0.49655485,0,1
2025-06-18,PRIO3,43.7,1,0.530267,1,1
2025-06-20,PRIO3,43.56,0,0.52149993,1,0
2025-06-23,PRIO3,43.25,0,0.5264938,1,0
2025-06-24,PRIO3,41.56,0,0.5264938,1,0
2025-06-25,PRIO3,41.03,1,0.51843077,1,1
2025-06-26,PRIO3,41.85,1,0.4749063,0,0
2025-06-27,PRIO3,41.87,0,0.4896968,0,1
2025-06-30,PRIO3,42.4,0,0.5098546,1,0
2025-07-01,PRIO3,41.8,1,0.530267,1,1
2025-07-02,PRIO3,42.16,0,0.45474616,0,1
2025-07-03,PRIO3,42.58,0,0.5170913,1,0
2025-07-04,PRIO3,42.58,0,0.5318648,1,0
2025-07-07,PRIO3,41.76,1,0.5318648,1,1
2025-07-08,PRIO3,43.08,1,0.5207694,1,1
