feature,grupo,janela,importance
beta_3d,beta,3d,0.023661485
spread_volratio_21d,spread_volratio,21d,0.022980565
z_mercado_5d,z_mercado,5d,0.022017643
beta_42d,beta,42d,0.021883208
spread_vol_21d,spread_vol,21d,0.021731986
trend_mercado_3d,trend_mercado,3d,0.02163759
trend_mercado_5d,trend_mercado,5d,0.021279477
spread_retorno_5d,spread_retorno,5d,0.02123069
z_alpha_21d,z_alpha,21d,0.020934636
z_alpha_14d,z_alpha,14d,0.02078424
spread_retorno_63d,spread_retorno,63d,0.020684205
spread_retorno_42d,spread_retorno,42d,0.020411644
dist_sma_3d,dist_sma,3d,0.020205945
spread_vol_14d,spread_vol,14d,0.02001956
z_mercado_63d,z_mercado,63d,0.019985067
z_mercado_14d,z_mercado,14d,0.019841425
spread_vol_5d,spread_vol,5d,0.01982691
beta_21d,beta,21d,0.019562494
beta_63d,beta,63d,0.019554928
risco_mercado_21d,risco_mercado,21d,0.019479
spread_vol_3d,spread_vol,3d,0.019354358
dist_sma_63d,dist_sma,63d,0.019192882
z_alpha_42d,z_alpha,42d,0.019105496
risco_mercado_3d,risco_mercado,3d,0.019064765
risco_mercado_14d,risco_mercado,14d,0.019033367
spread_volratio_3d,spread_volratio,3d,0.018838368
dist_sma_21d,dist_sma,21d,0.018775312
spread_retorno_14d,spread_retorno,14d,0.01864995
trend_mercado_63d,trend_mercado,63d,0.01861473
trend_mercado_21d,trend_mercado,21d,0.018542109
z_mercado_42d,z_mercado,42d,0.018349025
trend_mercado_14d,trend_mercado,14d,0.018221632
risco_mercado_5d,risco_mercado,5d,0.017792996
spread_retorno_21d,spread_retorno,21d,0.017565317
beta_14d,beta,14d,0.017383328
spread_volratio_5d,spread_volratio,5d,0.017264014
z_alpha_5d,z_alpha,5d,0.017252889
spread_volratio_63d,spread_volratio,63d,0.017162636
z_mercado_21d,z_mercado,21d,0.017073613
z_mercado_3d,z_mercado,3d,0.01707303
dist_sma_42d,dist_sma,42d,0.017056087
trend_mercado_42d,trend_mercado,42d,0.016974425
dist_sma_14d,dist_sma,14d,0.016945427
spread_volratio_14d,spread_volratio,14d,0.01662355
beta_5d,beta,5d,0.01658973
spread_retorno_3d,spread_retorno,3d,0.016287722
spread_vol_42d,spread_vol,42d,0.01616439
z_alpha_3d,z_alpha,3d,0.01587363
risco_mercado_63d,risco_mercado,63d,0.01586397
dist_sma_5d,dist_sma,5d,0.015524114
spread_volratio_42d,spread_volratio,42d,0.015124799
spread_vol_63d,spread_vol,63d,0.014973537
risco_mercado_42d,risco_mercado,42d,0.012126813
z_alpha_63d,z_alpha,63d,0.011849242
