date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,RADL3,26.33881,0,0.42489722,0,1
2024-08-30,RADL3,26.092651,0,0.50758857,1,0
2024-09-02,RADL3,25.732887,1,0.4676689,0,0
2024-09-03,RADL3,25.638208,0,0.5939692,1,0
2024-09-04,RADL3,25.8465,1,0.6174737,1,1
2024-09-05,RADL3,26.42402,0,0.56569135,1,0
2024-09-06,RADL3,25.979044,0,0.4685009,0,1
2024-09-09,RADL3,25.988512,0,0.40583327,0,1
2024-09-10,RADL3,25.695019,0,0.4404509,0,1
2024-09-11,RADL3,25.543535,1,0.5407216,1,1
2024-09-12,RADL3,25.515131,0,0.43903342,0,1
2024-09-13,RADL3,25.278442,1,0.5907818,1,1
2024-09-16,RADL3,25.562471,1,0.53472024,1,1
2024-09-17,RADL3,25.590874,1,0.43720374,0,0
2024-09-18,RADL3,25.912771,1,0.46313792,0,0
2024-09-19,RADL3,25.950642,0,0.47979033,0,1
2024-09-20,RADL3,25.534067,0,0.32321942,0,1
2024-09-23,RADL3,25.420456,0,0.418236,0,1
2024-09-24,RADL3,25.136429,0,0.5604829,1,0
2024-09-25,RADL3,24.805063,0,0.43499973,0,1
2024-09-26,RADL3,24.871336,0,0.41112718,0,1
2024-09-27,RADL3,24.331684,0,0.44531724,0,1
2024-09-30,RADL3,24.132862,1,0.43836638,0,0
2024-10-01,RADL3,24.899738,0,0.43186536,0,1
2024-10-02,RADL3,24.899738,0,0.51441914,1,0
2024-10-03,RADL3,24.293812,0,0.49357957,0,1
2024-10-04,RADL3,24.149498,0,0.5267721,1,0
2024-10-07,RADL3,23.892588,0,0.48975524,0,1
2024-10-08,RADL3,23.730827,1,0.46733046,0,0
2024-10-09,RADL3,23.749859,0,0.523412,1,0
2024-10-10,RADL3,23.397799,0,0.4683719,0,1
2024-10-11,RADL3,23.19798,1,0.47700012,0,0
2024-10-14,RADL3,23.49295,1,0.48944697,0,0
2024-10-15,RADL3,23.654707,1,0.52579343,1,1
2024-10-16,RADL3,24.349318,0,0.50440425,1,0
2024-10-17,RADL3,24.111437,0,0.5393552,1,0
2024-10-18,RADL3,23.940163,1,0.53708977,1,1
2024-10-21,RADL3,24.111437,1,0.50902915,1,1
2024-10-22,RADL3,24.035315,0,0.49322215,0,1
2024-10-23,RADL3,23.454891,1,0.48644975,0,0
2024-10-24,RADL3,23.787918,0,0.5675355,1,0
2024-10-25,RADL3,23.255072,0,0.6079508,1,0
2024-10-28,RADL3,23.23604,0,0.6118293,1,0
2024-10-29,RADL3,22.817373,1,0.5019547,1,1
2024-10-30,RADL3,23.407312,0,0.52375996,1,0
2024-10-31,RADL3,23.15992,1,0.45745808,0,0
2024-11-01,RADL3,23.121857,1,0.46211004,0,0
2024-11-04,RADL3,23.959192,1,0.48643988,0,0
2024-11-05,RADL3,24.69186,0,0.42629257,0,1
2024-11-06,RADL3,24.273193,1,0.46691272,0,0
2024-11-07,RADL3,24.377861,1,0.43138644,0,0
2024-11-08,RADL3,24.2161,1,0.3603434,0,0
2024-11-11,RADL3,24.22562,0,0.39629441,0,1
2024-11-12,RADL3,23.997255,1,0.46305797,0,0
2024-11-13,RADL3,24.463497,0,0.49582142,0,1
2024-11-14,RADL3,24.197071,1,0.4926417,0,0
2024-11-18,RADL3,24.444466,1,0.45130432,0,0
2024-11-19,RADL3,24.530102,0,0.44635996,0,1
2024-11-21,RADL3,24.13998,1,0.43840584,0,0
2024-11-22,RADL3,24.758465,0,0.49461985,0,1
2024-11-25,RADL3,24.054346,1,0.504876,1,1
2024-11-26,RADL3,24.473013,0,0.41519105,0,1
2024-11-27,RADL3,23.702284,1,0.49856135,0,0
2024-11-28,RADL3,23.340708,0,0.5310505,1,0
2024-11-29,RADL3,22.874464,1,0.53608865,1,1
2024-12-02,RADL3,22.893494,0,0.58995676,1,0
2024-12-03,RADL3,22.893494,1,0.56752825,1,1
2024-12-04,RADL3,23.359737,0,0.56752604,1,0
2024-12-05,RADL3,23.571823,0,0.5101149,1,0
2024-12-06,RADL3,23.0374,0,0.58376235,1,0
2024-12-09,RADL3,23.09466,1,0.59608924,1,1
2024-12-10,RADL3,23.371414,1,0.5632151,1,1
2024-12-11,RADL3,24.048988,1,0.45865896,0,0
2024-12-12,RADL3,23.53365,0,0.4580478,0,1
2024-12-13,RADL3,22.522068,0,0.50369346,1,0
2024-12-16,RADL3,22.23577,1,0.629208,1,1
2024-12-17,RADL3,22.770191,0,0.548342,1,0
