feature,grupo,janela,importance
z_alpha_14d,z_alpha,14d,0.023663808
risco_mercado_63d,risco_mercado,63d,0.023546506
spread_volratio_14d,spread_volratio,14d,0.023147866
z_mercado_42d,z_mercado,42d,0.022828914
z_alpha_63d,z_alpha,63d,0.022398444
spread_retorno_3d,spread_retorno,3d,0.02237553
spread_vol_14d,spread_vol,14d,0.022177953
spread_vol_5d,spread_vol,5d,0.021090645
risco_mercado_5d,risco_mercado,5d,0.02099579
beta_3d,beta,3d,0.020928562
trend_mercado_3d,trend_mercado,3d,0.02084397
spread_volratio_63d,spread_volratio,63d,0.020666465
dist_sma_42d,dist_sma,42d,0.02055641
beta_42d,beta,42d,0.020481195
trend_mercado_14d,trend_mercado,14d,0.020463329
spread_volratio_21d,spread_volratio,21d,0.020252457
trend_mercado_42d,trend_mercado,42d,0.020073842
dist_sma_5d,dist_sma,5d,0.019938806
spread_volratio_42d,spread_volratio,42d,0.019865394
z_mercado_5d,z_mercado,5d,0.019815454
dist_sma_63d,dist_sma,63d,0.019636573
risco_mercado_14d,risco_mercado,14d,0.0192841
z_mercado_14d,z_mercado,14d,0.019125072
dist_sma_14d,dist_sma,14d,0.019103978
trend_mercado_21d,trend_mercado,21d,0.018744845
spread_vol_63d,spread_vol,63d,0.01847142
beta_21d,beta,21d,0.018371489
dist_sma_3d,dist_sma,3d,0.01830498
trend_mercado_63d,trend_mercado,63d,0.018201835
spread_vol_21d,spread_vol,21d,0.018164473
z_mercado_63d,z_mercado,63d,0.01789197
trend_mercado_5d,trend_mercado,5d,0.017867608
spread_volratio_5d,spread_volratio,5d,0.017738512
spread_vol_3d,spread_vol,3d,0.0174533
beta_14d,beta,14d,0.017247891
risco_mercado_21d,risco_mercado,21d,0.017180482
z_alpha_3d,z_alpha,3d,0.017134573
z_alpha_5d,z_alpha,5d,0.017097777
z_alpha_21d,z_alpha,21d,0.01708539
risco_mercado_42d,risco_mercado,42d,0.016982755
spread_volratio_3d,spread_volratio,3d,0.016937623
z_mercado_3d,z_mercado,3d,0.016890723
spread_retorno_5d,spread_retorno,5d,0.016426865
spread_retorno_14d,spread_retorno,14d,0.016419966
dist_sma_21d,dist_sma,21d,0.016122516
spread_vol_42d,spread_vol,42d,0.015833788
beta_63d,beta,63d,0.015762463
spread_retorno_21d,spread_retorno,21d,0.01532371
spread_retorno_42d,spread_retorno,42d,0.014558708
z_alpha_42d,z_alpha,42d,0.014160519
z_mercado_21d,z_mercado,21d,0.014090841
risco_mercado_3d,risco_mercado,3d,0.013973744
beta_5d,beta,5d,0.013610337
spread_retorno_63d,spread_retorno,63d,0.012687922
