feature,grupo,janela,importance
dist_sma_63d,dist_sma,63d,0.028194606
spread_volratio_42d,spread_volratio,42d,0.025581796
trend_mercado_5d,trend_mercado,5d,0.025241178
z_alpha_63d,z_alpha,63d,0.023767525
z_mercado_21d,z_mercado,21d,0.023643224
spread_retorno_63d,spread_retorno,63d,0.023537595
spread_retorno_42d,spread_retorno,42d,0.023203291
dist_sma_14d,dist_sma,14d,0.022443233
z_mercado_63d,z_mercado,63d,0.021732276
dist_sma_42d,dist_sma,42d,0.02166822
z_alpha_42d,z_alpha,42d,0.021569569
spread_vol_5d,spread_vol,5d,0.021534061
spread_volratio_5d,spread_volratio,5d,0.021520762
dist_sma_3d,dist_sma,3d,0.021159973
risco_mercado_3d,risco_mercado,3d,0.021054734
trend_mercado_21d,trend_mercado,21d,0.02100879
z_alpha_14d,z_alpha,14d,0.020999258
z_mercado_14d,z_mercado,14d,0.02057166
spread_vol_14d,spread_vol,14d,0.020439468
beta_21d,beta,21d,0.020402364
risco_mercado_42d,risco_mercado,42d,0.019800814
spread_retorno_21d,spread_retorno,21d,0.019650191
z_mercado_42d,z_mercado,42d,0.019535035
spread_vol_21d,spread_vol,21d,0.019461622
trend_mercado_63d,trend_mercado,63d,0.019386668
beta_5d,beta,5d,0.018985543
spread_volratio_21d,spread_volratio,21d,0.018948976
risco_mercado_21d,risco_mercado,21d,0.01873869
z_alpha_3d,z_alpha,3d,0.018096225
beta_42d,beta,42d,0.017722178
z_mercado_3d,z_mercado,3d,0.017260423
spread_vol_3d,spread_vol,3d,0.017245714
dist_sma_5d,dist_sma,5d,0.01721155
spread_retorno_3d,spread_retorno,3d,0.017201427
trend_mercado_14d,trend_mercado,14d,0.016985292
beta_14d,beta,14d,0.016981622
spread_retorno_5d,spread_retorno,5d,0.016937096
beta_3d,beta,3d,0.016931994
z_alpha_5d,z_alpha,5d,0.016921893
spread_volratio_3d,spread_volratio,3d,0.016738242
spread_vol_42d,spread_vol,42d,0.016731182
z_alpha_21d,z_alpha,21d,0.016196862
z_mercado_5d,z_mercado,5d,0.015731793
risco_mercado_63d,risco_mercado,63d,0.015604961
risco_mercado_5d,risco_mercado,5d,0.015477243
spread_retorno_14d,spread_retorno,14d,0.01499951
spread_vol_63d,spread_vol,63d,0.014683496
trend_mercado_42d,trend_mercado,42d,0.014199387
dist_sma_21d,dist_sma,21d,0.014186661
spread_volratio_14d,spread_volratio,14d,0.012243839
trend_mercado_3d,trend_mercado,3d,0.012040487
spread_volratio_63d,spread_volratio,63d,0.010600067
risco_mercado_14d,risco_mercado,14d,0.010259188
beta_63d,beta,63d,0.00703063
