feature,grupo,janela,importance
dist_sma_5d,dist_sma,5d,0.029418148
spread_vol_42d,spread_vol,42d,0.024519233
z_alpha_5d,z_alpha,5d,0.022834813
trend_mercado_63d,trend_mercado,63d,0.022257935
spread_volratio_14d,spread_volratio,14d,0.022159824
spread_retorno_42d,spread_retorno,42d,0.022088863
risco_mercado_14d,risco_mercado,14d,0.021966165
z_alpha_42d,z_alpha,42d,0.021852149
dist_sma_42d,dist_sma,42d,0.021795807
spread_retorno_63d,spread_retorno,63d,0.021496305
beta_3d,beta,3d,0.021469016
trend_mercado_3d,trend_mercado,3d,0.021348763
z_alpha_63d,z_alpha,63d,0.021321138
beta_63d,beta,63d,0.021313103
spread_retorno_21d,spread_retorno,21d,0.021273822
trend_mercado_14d,trend_mercado,14d,0.021115633
z_mercado_14d,z_mercado,14d,0.020968135
beta_42d,beta,42d,0.020788444
dist_sma_14d,dist_sma,14d,0.020727437
dist_sma_63d,dist_sma,63d,0.020701485
spread_vol_5d,spread_vol,5d,0.020349694
risco_mercado_63d,risco_mercado,63d,0.020223355
z_alpha_14d,z_alpha,14d,0.020186326
risco_mercado_42d,risco_mercado,42d,0.020096663
spread_vol_21d,spread_vol,21d,0.020088973
beta_21d,beta,21d,0.019832103
z_mercado_63d,z_mercado,63d,0.019816909
dist_sma_3d,dist_sma,3d,0.01973277
spread_retorno_5d,spread_retorno,5d,0.019455256
z_mercado_42d,z_mercado,42d,0.019406337
beta_14d,beta,14d,0.019293549
spread_vol_63d,spread_vol,63d,0.019180248
spread_volratio_3d,spread_volratio,3d,0.018777514
risco_mercado_3d,risco_mercado,3d,0.018545244
spread_retorno_14d,spread_retorno,14d,0.018408353
spread_volratio_42d,spread_volratio,42d,0.018115507
trend_mercado_21d,trend_mercado,21d,0.01804673
z_mercado_21d,z_mercado,21d,0.017921973
spread_vol_3d,spread_vol,3d,0.017736057
spread_vol_14d,spread_vol,14d,0.017646855
beta_5d,beta,5d,0.017605616
spread_volratio_5d,spread_volratio,5d,0.01749126
z_alpha_3d,z_alpha,3d,0.017426819
spread_retorno_3d,spread_retorno,3d,0.01716733
z_alpha_21d,z_alpha,21d,0.016379615
spread_volratio_63d,spread_volratio,63d,0.016290242
z_mercado_3d,z_mercado,3d,0.015676314
risco_mercado_5d,risco_mercado,5d,0.015616232
trend_mercado_42d,trend_mercado,42d,0.015178274
dist_sma_21d,dist_sma,21d,0.013965489
trend_mercado_5d,trend_mercado,5d,0.012926268
z_mercado_5d,z_mercado,5d,0.0
risco_mercado_21d,risco_mercado,21d,0.0
spread_volratio_21d,spread_volratio,21d,0.0
