date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,SBSP3,87.28516,0,0.5015254,1,0
2024-08-30,SBSP3,86.68124,1,0.4980052,0,0
2024-09-02,SBSP3,86.342674,1,0.5015254,1,1
2024-09-03,SBSP3,86.653786,0,0.5015254,1,0
2024-09-04,SBSP3,87.459015,0,0.4980052,0,1
2024-09-05,SBSP3,87.27601,1,0.4980052,0,0
2024-09-06,SBSP3,86.69953,0,0.49981767,0,1
2024-09-09,SBSP3,86.73614,1,0.49981767,0,0
2024-09-10,SBSP3,88.07209,0,0.49981767,0,1
2024-09-11,SBSP3,86.68124,1,0.4986836,0,0
2024-09-12,SBSP3,86.37012,0,0.50131476,1,0
2024-09-13,SBSP3,86.49823,1,0.50333786,1,1
2024-09-16,SBSP3,88.30085,0,0.49789733,0,1
2024-09-17,SBSP3,88.01719,1,0.49789733,0,0
2024-09-18,SBSP3,87.90738,0,0.5015254,1,0
2024-09-19,SBSP3,86.90084,1,0.50333786,1,1
2024-09-20,SBSP3,86.61719,0,0.5015254,1,0
2024-09-23,SBSP3,85.665535,0,0.5005153,1,0
2024-09-24,SBSP3,84.83286,0,0.49789733,0,1
2024-09-25,SBSP3,83.817184,0,0.5005153,1,0
2024-09-26,SBSP3,83.58842,0,0.50333786,1,0
2024-09-27,SBSP3,82.42632,1,0.50333786,1,1
2024-09-30,SBSP3,82.71914,0,0.50131476,1,0
2024-10-01,SBSP3,82.38057,0,0.5005153,1,0
2024-10-02,SBSP3,82.45377,0,0.50333786,1,0
2024-10-03,SBSP3,81.18187,0,0.49981767,0,1
2024-10-04,SBSP3,80.63286,1,0.50333786,1,1
2024-10-07,SBSP3,81.88645,1,0.49981767,0,0
2024-10-08,SBSP3,82.64593,0,0.5015254,1,0
2024-10-09,SBSP3,81.392334,0,0.4980052,0,1
2024-10-10,SBSP3,81.13612,0,0.4980052,0,1
2024-10-11,SBSP3,80.61455,1,0.4980052,0,0
2024-10-14,SBSP3,82.362274,1,0.5015254,1,1
2024-10-15,SBSP3,83.359665,1,0.5015254,1,1
2024-10-16,SBSP3,84.18319,1,0.5015254,1,1
2024-10-17,SBSP3,84.72306,0,0.5015254,1,0
2024-10-18,SBSP3,83.35051,1,0.4986836,0,0
