feature,grupo,janela,importance
z_alpha_3d,z_alpha,3d,0.024745278
z_mercado_3d,z_mercado,3d,0.024414588
spread_volratio_21d,spread_volratio,21d,0.023902364
trend_mercado_63d,trend_mercado,63d,0.02264086
spread_volratio_63d,spread_volratio,63d,0.02248179
trend_mercado_42d,trend_mercado,42d,0.022369279
spread_vol_21d,spread_vol,21d,0.021881167
spread_volratio_42d,spread_volratio,42d,0.021603808
trend_mercado_14d,trend_mercado,14d,0.021296013
spread_vol_14d,spread_vol,14d,0.021122945
spread_vol_5d,spread_vol,5d,0.020969603
z_alpha_14d,z_alpha,14d,0.020876044
beta_21d,beta,21d,0.020754384
dist_sma_63d,dist_sma,63d,0.020748928
dist_sma_21d,dist_sma,21d,0.020683696
risco_mercado_21d,risco_mercado,21d,0.020219477
spread_retorno_3d,spread_retorno,3d,0.020206962
z_mercado_5d,z_mercado,5d,0.020017691
spread_retorno_14d,spread_retorno,14d,0.01967032
spread_retorno_5d,spread_retorno,5d,0.019644003
spread_vol_42d,spread_vol,42d,0.019636981
risco_mercado_14d,risco_mercado,14d,0.019395515
trend_mercado_3d,trend_mercado,3d,0.01933599
trend_mercado_5d,trend_mercado,5d,0.019158512
spread_volratio_3d,spread_volratio,3d,0.019042892
risco_mercado_5d,risco_mercado,5d,0.018645527
dist_sma_3d,dist_sma,3d,0.018310895
beta_5d,beta,5d,0.01828111
z_mercado_14d,z_mercado,14d,0.018269654
spread_volratio_5d,spread_volratio,5d,0.017929217
z_alpha_5d,z_alpha,5d,0.017886518
spread_retorno_42d,spread_retorno,42d,0.017784426
z_mercado_21d,z_mercado,21d,0.017741496
z_mercado_42d,z_mercado,42d,0.017676013
risco_mercado_3d,risco_mercado,3d,0.017490322
z_alpha_21d,z_alpha,21d,0.017301222
z_alpha_63d,z_alpha,63d,0.017135689
dist_sma_14d,dist_sma,14d,0.016818246
z_mercado_63d,z_mercado,63d,0.016576195
spread_vol_3d,spread_vol,3d,0.016437303
trend_mercado_21d,trend_mercado,21d,0.016386863
risco_mercado_63d,risco_mercado,63d,0.016094606
spread_retorno_21d,spread_retorno,21d,0.016091535
spread_volratio_14d,spread_volratio,14d,0.015937677
z_alpha_42d,z_alpha,42d,0.01588598
dist_sma_5d,dist_sma,5d,0.015862387
beta_14d,beta,14d,0.015570533
risco_mercado_42d,risco_mercado,42d,0.015447106
beta_42d,beta,42d,0.015270237
beta_63d,beta,63d,0.015035553
beta_3d,beta,3d,0.014170979
dist_sma_42d,dist_sma,42d,0.014079982
spread_retorno_63d,spread_retorno,63d,0.011961213
spread_vol_63d,spread_vol,63d,0.011102357
