date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,SUZB3,52.60715,0,0.5482184,1,0
2024-08-30,SUZB3,52.133213,1,0.5768706,1,1
2024-09-02,SUZB3,52.218525,0,0.29500797,0,1
2024-09-03,SUZB3,51.744587,1,0.47604534,0,0
2024-09-04,SUZB3,52.49341,0,0.60553265,1,0
2024-09-05,SUZB3,52.39862,0,0.59401923,1,0
2024-09-06,SUZB3,51.536053,0,0.46353173,0,1
2024-09-09,SUZB3,51.299084,1,0.509249,1,1
2024-09-10,SUZB3,52.322792,0,0.45352367,0,1
2024-09-11,SUZB3,52.24696,0,0.55682456,1,0
2024-09-12,SUZB3,51.555008,0,0.5752675,1,0
2024-09-13,SUZB3,51.460224,0,0.6302975,1,0
2024-09-16,SUZB3,50.25642,1,0.64040935,1,1
2024-09-17,SUZB3,50.51235,0,0.4527645,0,1
2024-09-18,SUZB3,49.85831,1,0.52350515,1,1
2024-09-19,SUZB3,49.829876,1,0.43219617,0,0
2024-09-20,SUZB3,49.611862,0,0.35001382,0,1
2024-09-23,SUZB3,48.95783,1,0.4567641,0,0
2024-09-24,SUZB3,50.24694,0,0.54379946,1,0
2024-09-25,SUZB3,49.441246,1,0.48736137,0,0
2024-09-26,SUZB3,51.41283,1,0.6251906,1,1
2024-09-27,SUZB3,51.545532,1,0.55469245,1,1
2024-09-30,SUZB3,51.6024,1,0.4237599,0,0
2024-10-01,SUZB3,52.02895,0,0.47178355,0,1
2024-10-02,SUZB3,52.228,1,0.41626346,0,0
2024-10-03,SUZB3,51.99103,1,0.5185967,1,1
2024-10-04,SUZB3,52.84412,0,0.5289051,1,0
2024-10-07,SUZB3,52.88204,1,0.6673985,1,1
2024-10-08,SUZB3,52.79673,0,0.5881904,1,0
2024-10-09,SUZB3,51.545532,0,0.47352526,0,1
2024-10-10,SUZB3,51.308563,1,0.48844856,0,0
2024-10-11,SUZB3,51.374912,1,0.41994745,0,0
2024-10-14,SUZB3,51.83937,1,0.47029206,0,0
2024-10-15,SUZB3,51.867813,0,0.587041,1,0
2024-10-16,SUZB3,51.621365,1,0.47666287,0,0
2024-10-17,SUZB3,52.142693,1,0.46872526,0,0
2024-10-18,SUZB3,52.863083,1,0.5018747,1,1
2024-10-21,SUZB3,53.33702,1,0.57409775,1,1
2024-10-22,SUZB3,54.57874,1,0.5007517,1,1
2024-10-23,SUZB3,54.5503,0,0.35850897,0,1
2024-10-24,SUZB3,54.408123,1,0.55019015,1,1
2024-10-25,SUZB3,55.924725,0,0.5794975,1,0
2024-10-28,SUZB3,56.247,1,0.70139736,1,1
2024-10-29,SUZB3,56.455536,1,0.5366934,1,1
