feature,grupo,janela,importance
beta_42d,beta,42d,0.022378536
z_alpha_21d,z_alpha,21d,0.022035351
spread_vol_21d,spread_vol,21d,0.021976262
z_alpha_63d,z_alpha,63d,0.021833597
z_mercado_63d,z_mercado,63d,0.021606488
z_alpha_5d,z_alpha,5d,0.021550972
risco_mercado_42d,risco_mercado,42d,0.021400811
z_alpha_42d,z_alpha,42d,0.021049622
z_alpha_3d,z_alpha,3d,0.02086027
spread_retorno_63d,spread_retorno,63d,0.02068881
z_mercado_3d,z_mercado,3d,0.02059678
spread_volratio_3d,spread_volratio,3d,0.020436304
trend_mercado_14d,trend_mercado,14d,0.020364989
dist_sma_42d,dist_sma,42d,0.020316062
spread_volratio_63d,spread_volratio,63d,0.020146718
beta_5d,beta,5d,0.019958746
z_mercado_14d,z_mercado,14d,0.019746492
spread_volratio_42d,spread_volratio,42d,0.019714767
beta_3d,beta,3d,0.019698113
dist_sma_5d,dist_sma,5d,0.019633098
risco_mercado_3d,risco_mercado,3d,0.019527286
trend_mercado_21d,trend_mercado,21d,0.01939081
spread_retorno_5d,spread_retorno,5d,0.019320887
trend_mercado_42d,trend_mercado,42d,0.019255623
spread_vol_14d,spread_vol,14d,0.01905231
risco_mercado_21d,risco_mercado,21d,0.018920869
spread_vol_3d,spread_vol,3d,0.018918362
z_mercado_5d,z_mercado,5d,0.018614857
dist_sma_14d,dist_sma,14d,0.01855811
spread_volratio_14d,spread_volratio,14d,0.018374635
z_mercado_21d,z_mercado,21d,0.018372117
spread_vol_42d,spread_vol,42d,0.018254278
beta_21d,beta,21d,0.017978752
z_alpha_14d,z_alpha,14d,0.017837493
spread_vol_5d,spread_vol,5d,0.017815718
spread_retorno_14d,spread_retorno,14d,0.017815705
trend_mercado_5d,trend_mercado,5d,0.017806387
trend_mercado_3d,trend_mercado,3d,0.01761932
dist_sma_3d,dist_sma,3d,0.017533991
risco_mercado_5d,risco_mercado,5d,0.017487546
spread_vol_63d,spread_vol,63d,0.0174095
dist_sma_21d,dist_sma,21d,0.01695109
spread_retorno_21d,spread_retorno,21d,0.016933158
beta_63d,beta,63d,0.016926706
dist_sma_63d,dist_sma,63d,0.016870495
beta_14d,beta,14d,0.016392218
risco_mercado_14d,risco_mercado,14d,0.015818264
spread_retorno_3d,spread_retorno,3d,0.015572621
spread_volratio_5d,spread_volratio,5d,0.015385579
spread_volratio_21d,spread_volratio,21d,0.015268502
z_mercado_42d,z_mercado,42d,0.01451052
risco_mercado_63d,risco_mercado,63d,0.014408413
trend_mercado_63d,trend_mercado,63d,0.0132849915
spread_retorno_42d,spread_retorno,42d,0.009820037
