feature,grupo,janela,importance
dist_sma_42d,dist_sma,42d,0.025797592
z_alpha_14d,z_alpha,14d,0.02497122
spread_vol_21d,spread_vol,21d,0.024499414
trend_mercado_63d,trend_mercado,63d,0.023241732
spread_volratio_21d,spread_volratio,21d,0.023223815
spread_retorno_21d,spread_retorno,21d,0.02256848
dist_sma_63d,dist_sma,63d,0.021842737
beta_3d,beta,3d,0.0214707
trend_mercado_3d,trend_mercado,3d,0.02101729
spread_retorno_63d,spread_retorno,63d,0.02098822
spread_volratio_42d,spread_volratio,42d,0.020863077
beta_5d,beta,5d,0.020291783
risco_mercado_14d,risco_mercado,14d,0.01995094
dist_sma_5d,dist_sma,5d,0.019747218
beta_63d,beta,63d,0.019668281
dist_sma_3d,dist_sma,3d,0.019644115
z_alpha_42d,z_alpha,42d,0.01941946
risco_mercado_5d,risco_mercado,5d,0.019369058
beta_14d,beta,14d,0.019314168
spread_volratio_3d,spread_volratio,3d,0.01928137
risco_mercado_63d,risco_mercado,63d,0.019151503
spread_vol_14d,spread_vol,14d,0.019137
risco_mercado_21d,risco_mercado,21d,0.018958496
spread_vol_5d,spread_vol,5d,0.018863587
z_mercado_63d,z_mercado,63d,0.018703125
spread_retorno_5d,spread_retorno,5d,0.018544089
z_alpha_3d,z_alpha,3d,0.018344289
spread_vol_3d,spread_vol,3d,0.01829193
spread_vol_42d,spread_vol,42d,0.018274503
spread_vol_63d,spread_vol,63d,0.01799834
z_mercado_5d,z_mercado,5d,0.017835414
trend_mercado_14d,trend_mercado,14d,0.017743131
z_mercado_21d,z_mercado,21d,0.01752088
trend_mercado_5d,trend_mercado,5d,0.017481115
trend_mercado_21d,trend_mercado,21d,0.017271927
z_mercado_3d,z_mercado,3d,0.017255751
z_alpha_5d,z_alpha,5d,0.017025122
beta_21d,beta,21d,0.016842704
dist_sma_21d,dist_sma,21d,0.016819153
risco_mercado_3d,risco_mercado,3d,0.016794244
spread_volratio_5d,spread_volratio,5d,0.016339444
dist_sma_14d,dist_sma,14d,0.016331537
trend_mercado_42d,trend_mercado,42d,0.0162682
z_alpha_63d,z_alpha,63d,0.016223414
beta_42d,beta,42d,0.016145896
spread_retorno_14d,spread_retorno,14d,0.01590119
z_alpha_21d,z_alpha,21d,0.015865365
spread_retorno_3d,spread_retorno,3d,0.015842833
spread_volratio_63d,spread_volratio,63d,0.015640425
z_mercado_14d,z_mercado,14d,0.015454217
spread_retorno_42d,spread_retorno,42d,0.01534818
risco_mercado_42d,risco_mercado,42d,0.015061203
z_mercado_42d,z_mercado,42d,0.013669944
spread_volratio_14d,spread_volratio,14d,0.009881197
