date,ticker,close,real_supera_ibov,prob_supera_ibov,pred_supera_ibov,acerto
2024-08-29,WEGE3,50.51236,1,0.4393813,0,0
2024-08-30,WEGE3,51.087864,0,0.5738079,1,0
2024-09-02,WEGE3,49.389645,1,0.6422443,1,1
2024-09-03,WEGE3,49.814205,0,0.5591722,1,0
2024-09-04,WEGE3,50.370834,1,0.7498209,1,1
2024-09-05,WEGE3,50.936913,0,0.45588645,0,1
2024-09-06,WEGE3,49.889687,0,0.53863835,1,0
2024-09-09,WEGE3,49.483997,1,0.62990683,1,1
2024-09-10,WEGE3,49.89911,1,0.5015656,1,1
2024-09-11,WEGE3,50.47462,1,0.32222188,0,0
2024-09-12,WEGE3,50.29537,0,0.43963763,0,1
2024-09-13,WEGE3,50.587826,0,0.52693725,1,0
2024-09-16,WEGE3,50.002895,1,0.62066674,1,1
2024-09-17,WEGE3,50.3048,1,0.47692767,0,0
2024-09-18,WEGE3,50.56896,0,0.3755685,0,1
2024-09-19,WEGE3,50.248196,1,0.57299656,1,1
2024-09-20,WEGE3,49.550037,1,0.46768585,0,0
2024-09-23,WEGE3,51.248245,1,0.47932634,0,0
2024-09-24,WEGE3,52.257744,1,0.36545524,0,0
2024-09-25,WEGE3,52.53134,0,0.44098663,0,1
2024-09-26,WEGE3,52.880413,1,0.7250341,1,1
2024-09-27,WEGE3,52.86155,0,0.49688375,0,1
2024-09-30,WEGE3,51.378532,1,0.66868466,1,1
2024-10-01,WEGE3,52.786037,0,0.4648517,0,1
2024-10-02,WEGE3,52.285378,1,0.54302615,1,1
2024-10-03,WEGE3,51.576904,0,0.69330937,1,0
2024-10-04,WEGE3,51.482445,0,0.716956,1,0
2024-10-07,WEGE3,50.44335,1,0.5597661,1,1
2024-10-08,WEGE3,51.30297,1,0.63170916,1,1
2024-10-09,WEGE3,51.010124,1,0.561902,1,1
2024-10-10,WEGE3,51.18016,1,0.690023,1,1
2024-10-11,WEGE3,51.17071,1,0.6247816,1,1
2024-10-14,WEGE3,51.99255,1,0.3315708,0,0
2024-10-15,WEGE3,53.400036,1,0.633127,1,1
2024-10-16,WEGE3,54.0235,0,0.69169825,1,0
2024-10-17,WEGE3,53.107212,0,0.47681472,0,1
2024-10-18,WEGE3,52.162575,0,0.43565136,0,1
2024-10-21,WEGE3,51.99255,1,0.63781637,1,1
2024-10-22,WEGE3,52.852158,1,0.41059026,0,0
