time,open,high,low,close,Volume
2020-09-25T17:00:00Z,12.7,12.75,12.67,12.68,1828300
2020-09-25T18:00:00Z,12.69,12.72,12.62,12.68,1354200
2020-09-25T19:00:00Z,12.69,12.91,12.68,12.89,6028200
2020-09-28T13:00:00Z,12.97,12.97,12.69,12.69,6374600
2020-09-28T14:00:00Z,12.7,12.73,12.6,12.6,5402600
2020-09-28T15:00:00Z,12.61,12.71,12.59,12.69,1598100
2020-09-28T16:00:00Z,12.69,12.72,12.58,12.6,4769100
2020-09-28T17:00:00Z,12.6,12.63,12.42,12.47,8562300
2020-09-28T18:00:00Z,12.47,12.58,12.46,12.54,3497500
2020-09-28T19:00:00Z,12.54,12.55,12.47,12.5,4410100
2020-09-29T13:00:00Z,12.46,12.61,12.4,12.58,5022900
2020-09-29T14:00:00Z,12.58,12.69,12.5,12.56,2510700
2020-09-29T15:00:00Z,12.56,12.58,12.36,12.39,3169000
2020-09-29T16:00:00Z,12.39,12.43,12.31,12.33,3143400
2020-09-29T17:00:00Z,12.34,12.39,12.28,12.3,2527500
2020-09-29T18:00:00Z,12.3,12.39,12.29,12.34,2812700
2020-09-29T19:00:00Z,12.34,12.39,12.32,12.32,1968400
2020-09-30T13:00:00Z,12.45,12.61,12.36,12.55,3040300
2020-09-30T14:00:00Z,12.55,12.66,12.47,12.5,4888100
2020-09-30T15:00:00Z,12.5,12.61,12.48,12.6,2703900
2020-09-30T16:00:00Z,12.6,12.66,12.59,12.63,1565100
2020-09-30T17:00:00Z,12.62,12.64,12.51,12.59,2036700
2020-09-30T18:00:00Z,12.59,12.68,12.51,12.56,3579800
2020-09-30T19:00:00Z,12.55,12.63,12.52,12.58,3361100
2020-10-01T13:00:00Z,12.55,12.67,12.48,12.56,3748100
2020-10-01T14:00:00Z,12.55,12.58,12.5,12.56,2133800
2020-10-01T15:00:00Z,12.57,12.59,12.5,12.52,3074400
2020-10-01T16:00:00Z,12.53,12.6,12.51,12.55,2202700
2020-10-01T17:00:00Z,12.54,12.75,12.54,12.69,1916800
2020-10-01T18:00:00Z,12.7,12.77,12.61,12.74,2405000
2020-10-01T19:00:00Z,12.74,12.78,12.7,12.72,3128000
2020-10-02T13:00:00Z,12.61,12.83,12.61,12.78,3187200
2020-10-02T14:00:00Z,12.78,12.8,12.68,12.74,1927200
2020-10-02T15:00:00Z,12.74,12.74,12.6,12.61,2276500
2020-10-02T16:00:00Z,12.6,12.66,12.57,12.62,2805300
2020-10-02T17:00:00Z,12.63,12.64,12.54,12.59,1768800
2020-10-02T18:00:00Z,12.59,12.64,12.58,12.58,1599900
2020-10-02T19:00:00Z,12.58,12.63,12.55,12.58,3608100
2020-10-05T13:00:00Z,12.56,12.69,12.54,12.62,2137100
2020-10-05T14:00:00Z,12.62,12.65,12.57,12.6,1167500
2020-10-05T15:00:00Z,12.6,12.68,12.55,12.63,1928800
2020-10-05T16:00:00Z,12.63,12.74,12.63,12.66,1687000
2020-10-05T17:00:00Z,12.66,12.84,12.65,12.79,2868400
2020-10-05T18:00:00Z,12.78,12.81,12.74,12.79,2568300
2020-10-05T19:00:00Z,12.79,12.84,12.78,12.78,3039300
2020-10-06T13:00:00Z,12.93,13.46,12.89,13.45,9612700
2020-10-06T14:00:00Z,13.45,13.7,13.43,13.68,12477500
2020-10-06T15:00:00Z,13.68,13.7,13.49,13.66,6121200
2020-10-06T16:00:00Z,13.66,13.67,13.54,13.55,4382100
2020-10-06T17:00:00Z,13.56,13.57,13.44,13.5,7228000
2020-10-06T18:00:00Z,13.49,13.56,13.37,13.43,7514300
2020-10-06T19:00:00Z,13.42,13.53,13.35,13.45,5107500
2020-10-07T13:00:00Z,13.43,13.86,13.4,13.71,12340700
2020-10-07T14:00:00Z,13.7,13.71,13.51,13.56,6034100
2020-10-07T15:00:00Z,13.56,13.61,13.5,13.56,1784300
2020-10-07T16:00:00Z,13.56,13.67,13.53,13.56,2201100
2020-10-07T17:00:00Z,13.55,13.8,13.5,13.65,5349700
2020-10-07T18:00:00Z,13.66,13.8,13.63,13.7,3492500
2020-10-07T19:00:00Z,13.7,13.72,13.57,13.6,2410400
2020-10-08T13:00:00Z,13.61,13.65,13.43,13.49,3465700
2020-10-08T14:00:00Z,13.49,13.65,13.43,13.57,15471400
2020-10-08T15:00:00Z,13.57,13.74,13.56,13.69,2538600
2020-10-08T16:00:00Z,13.69,13.76,13.65,13.7,2978000
2020-10-08T17:00:00Z,13.7,13.74,13.67,13.7,2675600
2020-10-08T18:00:00Z,13.7,13.78,13.63,13.66,5838300
2020-10-08T19:00:00Z,13.67,13.68,13.57,13.64,8321700
2020-10-09T13:00:00Z,13.64,13.75,13.54,13.55,3372100
2020-10-09T14:00:00Z,13.54,13.83,13.54,13.83,3896100
2020-10-09T15:00:00Z,13.83,13.92,13.81,13.92,3293500
2020-10-09T16:00:00Z,13.91,13.93,13.71,13.74,2742000
2020-10-09T17:00:00Z,13.75,13.75,13.59,13.61,4622700
2020-10-09T18:00:00Z,13.61,13.67,13.58,13.63,1715100
2020-10-09T19:00:00Z,13.63,13.64,13.54,13.55,2717600
2020-10-13T13:00:00Z,13.58,13.76,13.57,13.69,3527800
2020-10-13T14:00:00Z,13.7,13.74,13.6,13.64,2019800
2020-10-13T15:00:00Z,13.64,13.68,13.61,13.67,1282100
2020-10-13T16:00:00Z,13.67,13.82,13.64,13.79,2025800
2020-10-13T17:00:00Z,13.8,13.87,13.73,13.73,3325700
2020-10-13T18:00:00Z,13.73,13.76,13.68,13.73,2446100
2020-10-13T19:00:00Z,13.74,13.78,13.71,13.73,1955100
2020-10-14T13:00:00Z,13.77,13.9,13.76,13.85,1747000
2020-10-14T14:00:00Z,13.85,13.97,13.83,13.87,3354900
2020-10-14T15:00:00Z,13.88,13.92,13.84,13.89,1343700
2020-10-14T16:00:00Z,13.89,13.95,13.84,13.89,3339600
2020-10-14T17:00:00Z,13.9,13.94,13.83,13.86,2611200
2020-10-14T18:00:00Z,13.85,13.88,13.76,13.82,3525200
2020-10-14T19:00:00Z,13.81,13.88,13.79,13.87,3262300
2020-10-15T13:00:00Z,13.61,13.73,13.54,13.63,2568600
2020-10-15T14:00:00Z,13.63,13.68,13.54,13.57,2243400
2020-10-15T15:00:00Z,13.56,13.62,13.55,13.55,1489000
2020-10-15T16:00:00Z,13.56,13.57,13.46,13.51,1955200
2020-10-15T17:00:00Z,13.51,13.63,13.51,13.58,1311300
2020-10-15T18:00:00Z,13.58,13.63,13.53,13.56,1308400
2020-10-15T19:00:00Z,13.56,13.57,13.51,13.53,1913100
2020-10-16T13:00:00Z,13.47,13.47,13.33,13.4,2816000
2020-10-16T14:00:00Z,13.4,13.42,13.32,13.41,5511000
2020-10-16T15:00:00Z,13.41,13.42,13.3,13.3,3342300
2020-10-16T16:00:00Z,13.3,13.34,13.26,13.33,1965300
2020-10-16T17:00:00Z,13.33,13.34,13.23,13.24,3749700
2020-10-16T18:00:00Z,13.24,13.26,13.22,13.22,1886400
2020-10-16T19:00:00Z,13.23,13.28,13.18,13.23,16380300
2020-10-19T13:00:00Z,13.26,13.41,13.23,13.41,3528400
2020-10-19T14:00:00Z,13.4,13.52,13.35,13.47,3064700
2020-10-19T15:00:00Z,13.47,13.51,13.43,13.43,2756300
2020-10-19T16:00:00Z,13.44,13.45,13.36,13.37,1429100
2020-10-19T17:00:00Z,13.37,13.39,13.31,13.31,1748000
2020-10-19T18:00:00Z,13.31,13.32,13.14,13.16,2196800
2020-10-19T19:00:00Z,13.17,13.25,13.15,13.19,3510200
2020-10-20T13:00:00Z,13.36,13.44,13.32,13.36,2980700
2020-10-20T14:00:00Z,13.35,13.43,13.29,13.32,3420100
2020-10-20T15:00:00Z,13.31,13.32,13.21,13.28,2183900
2020-10-20T16:00:00Z,13.27,13.38,13.26,13.32,2460500
