time,open,high,low,close,Volume
2020-09-04T14:00:00Z,22.71,22.83,22.62,22.71,8075000
2020-09-04T15:00:00Z,22.7,22.74,22.58,22.69,6861800
2020-09-04T16:00:00Z,22.69,22.77,22.62,22.73,6373400
2020-09-04T17:00:00Z,22.73,22.82,22.69,22.81,5411100
2020-09-04T18:00:00Z,22.8,23.03,22.78,22.97,5706300
2020-09-04T19:00:00Z,22.97,23.03,22.9,22.92,7709800
2020-09-08T13:00:00Z,22.5,22.5,21.91,22.05,33614500
2020-09-08T14:00:00Z,22.05,22.17,21.96,22.06,12058100
2020-09-08T15:00:00Z,22.06,22.25,22.05,22.12,6006700
2020-09-08T16:00:00Z,22.13,22.25,22.11,22.21,2875200
2020-09-08T17:00:00Z,22.21,22.31,22.15,22.26,4426600
2020-09-08T18:00:00Z,22.26,22.28,22.1,22.18,5772600
2020-09-08T19:00:00Z,22.18,22.25,22.12,22.23,4847900
2020-09-09T13:00:00Z,22.49,22.77,22.49,22.58,11180500
2020-09-09T14:00:00Z,22.58,22.6,22.5,22.54,5445400
2020-09-09T15:00:00Z,22.54,22.67,22.54,22.61,6197500
2020-09-09T16:00:00Z,22.62,22.67,22.59,22.59,2148400
2020-09-09T17:00:00Z,22.59,22.7,22.59,22.68,3133500
2020-09-09T18:00:00Z,22.67,22.71,22.59,22.71,4651100
2020-09-09T19:00:00Z,22.71,22.77,22.65,22.69,5889600
2020-09-10T13:00:00Z,22.58,22.58,22.37,22.4,10572100
2020-09-10T14:00:00Z,22.4,22.53,22.35,22.38,9421800
2020-09-10T15:00:00Z,22.37,22.45,22.31,22.37,5902000
2020-09-10T16:00:00Z,22.37,22.41,22.3,22.34,3731700
2020-09-10T17:00:00Z,22.34,22.37,22.25,22.3,5830700
2020-09-10T18:00:00Z,22.3,22.33,22.18,22.21,7439800
2020-09-10T19:00:00Z,22.22,22.23,22.11,22.18,8543400
2020-09-11T13:00:00Z,22.12,22.17,21.79,21.83,15020400
2020-09-11T14:00:00Z,21.83,21.95,21.75,21.95,10834400
2020-09-11T15:00:00Z,21.95,22.26,21.94,22,13331300
2020-09-11T16:00:00Z,21.99,22.09,21.9,21.92,3305800
2020-09-11T17:00:00Z,21.92,21.99,21.83,21.98,13328000
2020-09-11T18:00:00Z,21.98,22.05,21.94,21.99,4116400
2020-09-11T19:00:00Z,21.99,22.05,21.94,21.98,6891900
2020-09-14T13:00:00Z,21.94,21.98,21.43,21.57,14690300
2020-09-14T14:00:00Z,21.59,21.64,21.51,21.53,7425000
2020-09-14T15:00:00Z,21.52,21.62,21.51,21.58,4953900
2020-09-14T16:00:00Z,21.59,21.65,21.55,21.59,4379600
2020-09-14T17:00:00Z,21.59,21.64,21.55,21.61,3794300
2020-09-14T18:00:00Z,21.62,21.71,21.61,21.66,3139900
2020-09-14T19:00:00Z,21.66,21.72,21.56,21.69,5367300
2020-09-15T13:00:00Z,21.98,22.08,21.61,21.66,15424800
2020-09-15T14:00:00Z,21.66,21.86,21.55,21.8,10518900
2020-09-15T15:00:00Z,21.79,21.93,21.69,21.83,7360100
2020-09-15T16:00:00Z,21.82,21.85,21.67,21.82,4986300
2020-09-15T17:00:00Z,21.81,21.83,21.71,21.73,3974700
2020-09-15T18:00:00Z,21.73,21.79,21.67,21.75,4469300
2020-09-15T19:00:00Z,21.75,21.78,21.58,21.63,7181500
2020-09-16T13:00:00Z,21.85,21.91,21.6,21.69,7940700
2020-09-16T14:00:00Z,21.69,21.8,21.69,21.73,5519800
2020-09-16T15:00:00Z,21.73,21.91,21.72,21.88,9925700
2020-09-16T16:00:00Z,21.88,21.99,21.87,21.9,4840200
2020-09-16T17:00:00Z,21.89,21.9,21.78,21.82,4071600
2020-09-16T18:00:00Z,21.81,21.96,21.8,21.88,5755300
2020-09-16T19:00:00Z,21.88,21.97,21.68,21.77,9306100
2020-09-17T13:00:00Z,21.51,21.7,21.46,21.63,8832500
2020-09-17T14:00:00Z,21.63,21.86,21.61,21.68,10410500
2020-09-17T15:00:00Z,21.67,21.92,21.67,21.9,9086000
2020-09-17T16:00:00Z,21.9,21.94,21.84,21.92,7905000
2020-09-17T17:00:00Z,21.93,22.11,21.88,21.99,10783400
2020-09-17T18:00:00Z,22,22.17,21.98,22.16,5978700
2020-09-17T19:00:00Z,22.15,22.17,22.07,22.12,5738300
2020-09-18T13:00:00Z,21.99,22.15,21.82,21.85,9600900
2020-09-18T14:00:00Z,21.85,21.99,21.82,21.93,8654000
2020-09-18T15:00:00Z,21.93,22.12,21.89,21.9,7464700
2020-09-18T16:00:00Z,21.9,21.91,21.73,21.79,6590900
2020-09-18T17:00:00Z,21.8,21.81,21.55,21.59,7630400
2020-09-18T18:00:00Z,21.6,21.76,21.56,21.75,6398800
2020-09-18T19:00:00Z,21.75,21.79,21.67,21.72,8609200
2020-09-21T13:00:00Z,21.29,21.46,21.05,21.22,20504200
2020-09-21T14:00:00Z,21.22,21.23,20.93,20.94,10377900
2020-09-21T15:00:00Z,20.92,21.09,20.91,21.03,6427000
2020-09-21T16:00:00Z,21.03,21.13,20.99,21.01,4478200
2020-09-21T17:00:00Z,21.01,21.04,20.96,20.98,4912100
2020-09-21T18:00:00Z,20.99,21,20.82,20.86,7063200
2020-09-21T19:00:00Z,20.86,21,20.81,20.9,11596000
2020-09-22T13:00:00Z,20.96,21.35,20.87,21.11,13201000
2020-09-22T14:00:00Z,21.11,21.17,20.82,20.83,7920500
2020-09-22T15:00:00Z,20.83,20.94,20.77,20.89,5540500
2020-09-22T16:00:00Z,20.88,20.91,20.83,20.88,3396600
2020-09-22T17:00:00Z,20.87,20.89,20.75,20.86,4405300
2020-09-22T18:00:00Z,20.87,21.05,20.87,20.91,5663700
2020-09-22T19:00:00Z,20.91,20.94,20.79,20.81,4692300
2020-09-23T13:00:00Z,20.8,20.92,20.56,20.71,9439800
2020-09-23T14:00:00Z,20.71,20.83,20.61,20.76,7529500
2020-09-23T15:00:00Z,20.77,20.96,20.64,20.67,8232000
2020-09-23T16:00:00Z,20.66,20.79,20.61,20.77,7789400
2020-09-23T17:00:00Z,20.75,20.77,20.55,20.58,3831000
2020-09-23T18:00:00Z,20.59,20.59,20.32,20.35,6924200
2020-09-23T19:00:00Z,20.35,20.42,20.2,20.2,9737300
2020-09-24T13:00:00Z,20.24,20.3,20.07,20.18,7797600
2020-09-24T14:00:00Z,20.17,20.25,20.06,20.1,15610900
2020-09-24T15:00:00Z,20.1,20.2,20.06,20.17,5220500
2020-09-24T16:00:00Z,20.17,20.36,20.15,20.34,10876800
2020-09-24T17:00:00Z,20.33,20.71,20.32,20.66,17941700
2020-09-24T18:00:00Z,20.66,20.68,20.32,20.35,6391000
2020-09-24T19:00:00Z,20.35,20.5,20.18,20.43,8077500
2020-09-25T13:00:00Z,20.15,20.17,19.87,20,13423600
2020-09-25T14:00:00Z,20.01,20.14,19.99,20.1,5644000
2020-09-25T15:00:00Z,20.09,20.26,20.06,20.09,5717200
2020-09-25T16:00:00Z,20.1,20.17,20.06,20.15,2651800
2020-09-25T17:00:00Z,20.16,20.17,20.1,20.15,2553500
2020-09-25T18:00:00Z,20.14,20.17,20.07,20.12,3725900
2020-09-25T19:00:00Z,20.12,20.17,20.1,20.16,4306100
2020-09-28T13:00:00Z,20.33,20.56,20.3,20.48,10042900
2020-09-28T14:00:00Z,20.48,20.5,20.18,20.25,5090700
2020-09-28T15:00:00Z,20.26,20.29,20.14,20.23,2223300
2020-09-28T16:00:00Z,20.23,20.28,20.02,20.1,5085800
2020-09-28T17:00:00Z,20.1,20.12,19.81,19.85,9884400
2020-09-28T18:00:00Z,19.85,19.94,19.84,19.89,4724100
2020-09-28T19:00:00Z,19.89,19.9,19.67,19.68,7729300
2020-09-29T13:00:00Z,19.63,19.74,19.41,19.46,9285400
2020-09-29T14:00:00Z,19.47,19.86,19.45,19.7,11126300
2020-09-29T15:00:00Z,19.7,19.74,19.45,19.48,4880400
2020-09-29T16:00:00Z,19.48,19.55,19.27,19.32,5790000
2020-09-29T17:00:00Z,19.32,19.41,19.25,19.39,6047400
2020-09-29T18:00:00Z,19.38,19.49,19.37,19.41,7819600
2020-09-29T19:00:00Z,19.41,19.45,19.31,19.35,3476600
2020-09-30T13:00:00Z,19.5,20.02,19.43,19.82,18002900
2020-09-30T14:00:00Z,19.82,20.04,19.78,19.8,13044900
2020-09-30T15:00:00Z,19.81,19.84,19.65,19.82,8226500
2020-09-30T16:00:00Z,19.82,19.87,19.73,19.78,2873400
2020-09-30T17:00:00Z,19.77,20.02,19.6,19.69,10321700
2020-09-30T18:00:00Z,19.68,19.85,19.6,19.65,6661100
2020-09-30T19:00:00Z,19.65,19.73,19.62,19.7,5061800
2020-10-01T13:00:00Z,19.64,19.67,19.35,19.38,9726300
2020-10-01T14:00:00Z,19.36,19.38,19.21,19.31,6353300
2020-10-01T15:00:00Z,19.31,19.34,19.13,19.21,5694000
2020-10-01T16:00:00Z,19.21,19.26,19.18,19.25,2791100
2020-10-01T17:00:00Z,19.24,19.49,19.23,19.46,6766400
2020-10-01T18:00:00Z,19.47,20.06,19.43,19.86,23441700
2020-10-01T19:00:00Z,19.86,19.98,19.73,19.9,16768400
2020-10-02T13:00:00Z,19.73,19.74,19.36,19.45,25729300
2020-10-02T14:00:00Z,19.44,19.57,19.34,19.4,11381700
2020-10-02T15:00:00Z,19.4,19.46,19.32,19.33,4815100
2020-10-02T16:00:00Z,19.34,19.5,19.31,19.41,6050700
2020-10-02T17:00:00Z,19.4,19.42,19.23,19.24,7474400
2020-10-02T18:00:00Z,19.24,19.33,19.22,19.23,6800400
2020-10-02T19:00:00Z,19.23,19.25,19.04,19.06,16918800
2020-10-05T13:00:00Z,19.36,19.44,19.24,19.32,12025500
2020-10-05T14:00:00Z,19.34,19.54,19.28,19.51,9432500
