time,open,high,low,close,Volume
2020-09-16T14:00:00Z,7.864,7.898,7.85,7.868,1022500
2020-09-16T15:00:00Z,7.868,7.92,7.852,7.886,914500
2020-09-16T16:00:00Z,7.89,7.906,7.866,7.896,743000
2020-09-16T17:00:00Z,7.896,7.896,7.83,7.848,955000
2020-09-16T18:00:00Z,7.85,7.888,7.826,7.836,993000
2020-09-16T19:00:00Z,7.836,7.848,7.742,7.76,2342500
2020-09-17T13:00:00Z,7.702,7.734,7.62,7.69,2562000
2020-09-17T14:00:00Z,7.69,7.87,7.69,7.79,1783000
2020-09-17T15:00:00Z,7.794,7.844,7.752,7.784,747000
2020-09-17T16:00:00Z,7.786,7.81,7.754,7.792,653000
2020-09-17T17:00:00Z,7.794,7.906,7.79,7.894,2184000
2020-09-17T18:00:00Z,7.894,7.894,7.84,7.86,889000
2020-09-17T19:00:00Z,7.864,7.864,7.83,7.856,830000
2020-09-18T13:00:00Z,7.762,7.878,7.762,7.866,1535500
2020-09-18T14:00:00Z,7.864,7.96,7.832,7.844,1754500
2020-09-18T15:00:00Z,7.85,7.878,7.78,7.794,1015000
2020-09-18T16:00:00Z,7.794,7.798,7.68,7.718,1910500
2020-09-18T17:00:00Z,7.718,7.724,7.506,7.586,2480500
2020-09-18T18:00:00Z,7.582,7.666,7.57,7.644,872000
2020-09-18T19:00:00Z,7.648,7.65,7.546,7.588,979000
2020-09-21T13:00:00Z,7.4,7.568,7.34,7.41,2889500
2020-09-21T14:00:00Z,7.412,7.412,7.248,7.29,1644000
2020-09-21T15:00:00Z,7.286,7.342,7.282,7.31,784000
2020-09-21T16:00:00Z,7.31,7.38,7.302,7.346,800000
2020-09-21T17:00:00Z,7.348,7.424,7.338,7.398,754500
2020-09-21T18:00:00Z,7.398,7.408,7.346,7.356,550500
2020-09-21T19:00:00Z,7.354,7.398,7.336,7.396,851500
2020-09-22T13:00:00Z,7.442,7.506,7.366,7.396,2238000
2020-09-22T14:00:00Z,7.402,7.42,7.306,7.31,1201000
2020-09-22T15:00:00Z,7.31,7.346,7.274,7.288,1103000
2020-09-22T16:00:00Z,7.29,7.33,7.28,7.29,594000
2020-09-22T17:00:00Z,7.292,7.348,7.282,7.346,457500
2020-09-22T18:00:00Z,7.346,7.376,7.334,7.354,612000
2020-09-22T19:00:00Z,7.35,7.35,7.32,7.332,634000
2020-09-23T13:00:00Z,7.284,7.338,7.188,7.224,1756000
2020-09-23T14:00:00Z,7.222,7.25,7.138,7.176,1172000
2020-09-23T15:00:00Z,7.176,7.198,7.108,7.116,888000
2020-09-23T16:00:00Z,7.116,7.232,7.11,7.218,1178500
2020-09-23T17:00:00Z,7.214,7.214,7.128,7.138,784000
2020-09-23T18:00:00Z,7.138,7.146,7.028,7.046,1632500
2020-09-23T19:00:00Z,7.046,7.064,6.96,6.962,2292000
2020-09-24T13:00:00Z,6.97,7.1,6.864,7.088,3441000
2020-09-24T14:00:00Z,7.084,7.248,7.084,7.238,3126000
2020-09-24T15:00:00Z,7.234,7.3,7.16,7.266,2180500
2020-09-24T16:00:00Z,7.266,7.352,7.262,7.338,1416000
2020-09-24T17:00:00Z,7.34,7.434,7.336,7.394,1939500
2020-09-24T18:00:00Z,7.39,7.4,7.324,7.352,1530000
2020-09-24T19:00:00Z,7.348,7.4,7.272,7.338,1699500
2020-09-25T13:00:00Z,7.266,7.266,7.026,7.1,2976000
2020-09-25T14:00:00Z,7.098,7.154,7.004,7.03,2126000
2020-09-25T15:00:00Z,7.036,7.09,7.01,7.04,1246500
2020-09-25T16:00:00Z,7.042,7.09,7.028,7.068,954500
2020-09-25T17:00:00Z,7.07,7.12,7.06,7.092,1133500
2020-09-25T18:00:00Z,7.092,7.14,7.084,7.11,1190500
2020-09-25T19:00:00Z,7.11,7.124,7.088,7.102,929000
2020-09-28T13:00:00Z,7.256,7.296,7.168,7.196,1905000
2020-09-28T14:00:00Z,7.2,7.228,7.12,7.142,1077500
2020-09-28T15:00:00Z,7.148,7.17,7.082,7.134,735500
2020-09-28T16:00:00Z,7.14,7.17,7.03,7.078,1326500
2020-09-28T17:00:00Z,7.08,7.084,6.922,6.996,1941000
2020-09-28T18:00:00Z,7.004,7.054,7.004,7.032,669500
2020-09-28T19:00:00Z,7.032,7.038,6.954,6.968,1367500
2020-09-29T13:00:00Z,6.96,7.062,6.924,6.952,1988500
2020-09-29T14:00:00Z,6.958,7.04,6.95,6.98,1349000
2020-09-29T15:00:00Z,6.984,6.986,6.864,6.902,1810000
2020-09-29T16:00:00Z,6.902,6.936,6.824,6.864,1149500
2020-09-29T17:00:00Z,6.868,6.884,6.83,6.864,956500
2020-09-29T18:00:00Z,6.864,6.932,6.852,6.904,1233500
2020-09-29T19:00:00Z,6.906,6.95,6.858,6.862,1538500
2020-09-30T13:00:00Z,6.9,7.02,6.872,7,1512000
2020-09-30T14:00:00Z,7,7.09,6.99,7.044,2112000
2020-09-30T15:00:00Z,7.046,7.068,6.992,7.044,610500
2020-09-30T16:00:00Z,7.044,7.068,6.962,6.98,618500
2020-09-30T17:00:00Z,6.98,7.02,6.93,6.976,693000
