time,open,high,low,close,Volume
2020-09-21T16:00:00Z,20.38,20.64,20.38,20.5,963700
2020-09-21T17:00:00Z,20.5,20.62,20.46,20.56,1072300
2020-09-21T18:00:00Z,20.57,20.58,20.3,20.34,1223900
2020-09-21T19:00:00Z,20.33,20.49,20.33,20.43,1368600
2020-09-22T13:00:00Z,20.44,20.51,20.31,20.4,763500
2020-09-22T14:00:00Z,20.4,20.54,20.22,20.24,1010600
2020-09-22T15:00:00Z,20.24,20.46,20.24,20.36,584000
2020-09-22T16:00:00Z,20.35,20.45,20.26,20.41,1411500
2020-09-22T17:00:00Z,20.4,20.54,20.33,20.48,1686900
2020-09-22T18:00:00Z,20.49,20.7,20.49,20.61,1719400
2020-09-22T19:00:00Z,20.61,20.79,20.58,20.75,1581400
2020-09-23T13:00:00Z,20.4,20.91,20.4,20.67,652800
2020-09-23T14:00:00Z,20.68,20.84,20.62,20.72,635800
2020-09-23T15:00:00Z,20.71,20.74,20.53,20.55,692200
2020-09-23T16:00:00Z,20.54,20.8,20.52,20.76,549200
2020-09-23T17:00:00Z,20.77,20.84,20.59,20.62,484800
2020-09-23T18:00:00Z,20.62,20.67,20.46,20.6,1635400
2020-09-23T19:00:00Z,20.6,20.75,20.56,20.75,2156500
2020-09-24T13:00:00Z,20.8,20.89,20.65,20.8,603500
2020-09-24T14:00:00Z,20.8,21.12,20.8,21.06,813100
2020-09-24T15:00:00Z,21.06,21.08,20.95,21.05,588800
2020-09-24T16:00:00Z,21.05,21.2,21,21.17,655300
2020-09-24T17:00:00Z,21.18,21.28,20.94,20.95,875200
2020-09-24T18:00:00Z,20.95,20.96,20.69,20.71,821100
2020-09-24T19:00:00Z,20.7,20.74,20.58,20.65,836100
2020-09-25T13:00:00Z,20.55,20.66,20.26,20.51,635900
2020-09-25T14:00:00Z,20.52,20.55,20.37,20.5,420000
2020-09-25T15:00:00Z,20.5,20.63,20.47,20.6,567500
2020-09-25T16:00:00Z,20.6,20.74,20.58,20.74,253000
2020-09-25T17:00:00Z,20.73,20.91,20.73,20.82,692900
2020-09-25T18:00:00Z,20.81,20.88,20.61,20.68,493300
2020-09-25T19:00:00Z,20.67,20.82,20.64,20.77,425200
2020-09-28T13:00:00Z,20.85,20.92,20.67,20.82,670900
2020-09-28T14:00:00Z,20.82,20.85,20.63,20.68,487100
2020-09-28T15:00:00Z,20.69,20.72,20.51,20.54,528900
2020-09-28T16:00:00Z,20.54,20.6,20.15,20.35,1072200
2020-09-28T17:00:00Z,20.35,20.37,19.86,20.16,1499100
2020-09-28T18:00:00Z,20.16,20.28,20.09,20.12,1035200
2020-09-28T19:00:00Z,20.11,20.14,19.9,19.93,1306400
2020-09-29T13:00:00Z,19.94,20,19.57,19.88,1108700
2020-09-29T14:00:00Z,19.88,19.98,19.58,19.63,1100900
2020-09-29T15:00:00Z,19.62,19.7,19.44,19.63,1831900
2020-09-29T16:00:00Z,19.63,19.63,19.26,19.39,2125800
2020-09-29T17:00:00Z,19.4,19.43,19.2,19.29,1192500
2020-09-29T18:00:00Z,19.31,19.43,19.15,19.28,2842500
2020-09-29T19:00:00Z,19.29,19.35,19.18,19.21,2008700
2020-09-30T13:00:00Z,19.32,19.5,19.16,19.26,1033500
2020-09-30T14:00:00Z,19.28,19.46,19.05,19.11,1509300
2020-09-30T15:00:00Z,19.12,19.16,18.79,18.9,2633000
2020-09-30T16:00:00Z,18.91,19.07,18.86,19.03,2253500
2020-09-30T17:00:00Z,19.03,19.17,18.95,19.1,822300
2020-09-30T18:00:00Z,19.1,19.26,19.07,19.12,3195800
2020-09-30T19:00:00Z,19.11,19.15,19,19.08,2380400
2020-10-01T13:00:00Z,19.1,19.18,18.88,19.09,1252300
2020-10-01T14:00:00Z,19.09,19.12,18.94,19.04,1626000
2020-10-01T15:00:00Z,19.04,19.19,19,19.18,1811000
2020-10-01T16:00:00Z,19.18,19.34,19.15,19.3,1491500
2020-10-01T17:00:00Z,19.31,19.41,19.3,19.34,1626800
2020-10-01T18:00:00Z,19.34,19.68,19.34,19.55,1418900
2020-10-01T19:00:00Z,19.55,19.74,19.5,19.68,2655800
2020-10-02T13:00:00Z,19.44,19.58,19.28,19.47,1055100
2020-10-02T14:00:00Z,19.46,19.55,19.43,19.45,1139900
2020-10-02T15:00:00Z,19.45,19.49,19.15,19.17,574500
2020-10-02T16:00:00Z,19.16,19.25,19.07,19.14,695500
2020-10-02T17:00:00Z,19.14,19.19,18.96,19.08,823300
2020-10-02T18:00:00Z,19.07,19.12,18.97,19.04,846800
2020-10-02T19:00:00Z,19.04,19.05,18.87,19.01,972700
2020-10-05T13:00:00Z,18.84,19.03,18.72,18.82,997100
2020-10-05T14:00:00Z,18.82,19,18.82,18.98,435400
2020-10-05T15:00:00Z,18.97,19.1,18.87,19.04,468700
2020-10-05T16:00:00Z,19.05,19.18,19.01,19.05,808400
2020-10-05T17:00:00Z,19.05,19.15,18.96,18.98,817600
2020-10-05T18:00:00Z,18.97,19.01,18.81,18.87,1167100
2020-10-05T19:00:00Z,18.87,18.93,18.81,18.84,1042200
2020-10-06T13:00:00Z,19.06,19.08,18.72,18.73,2005200
2020-10-06T14:00:00Z,18.73,18.9,18.62,18.63,1260900
2020-10-06T15:00:00Z,18.65,18.71,18.5,18.5,1201800
2020-10-06T16:00:00Z,18.5,18.58,18.4,18.54,1262200
2020-10-06T17:00:00Z,18.54,18.81,18.44,18.74,4425800
2020-10-06T18:00:00Z,18.73,18.82,18.54,18.61,4373800
2020-10-06T19:00:00Z,18.6,18.9,18.56,18.82,1847400
2020-10-07T13:00:00Z,18.86,18.89,18.61,18.71,1170400
2020-10-07T14:00:00Z,18.72,18.77,18.51,18.68,2380100
2020-10-07T15:00:00Z,18.69,18.82,18.6,18.66,557500
2020-10-07T16:00:00Z,18.67,18.76,18.57,18.61,458500
2020-10-07T17:00:00Z,18.62,18.87,18.57,18.76,974700
2020-10-07T18:00:00Z,18.77,18.8,18.6,18.64,617000
2020-10-07T19:00:00Z,18.63,18.63,18.43,18.49,1059200
2020-10-08T13:00:00Z,18.52,18.56,18.31,18.43,608800
2020-10-08T14:00:00Z,18.44,18.56,18.32,18.47,868500
2020-10-08T15:00:00Z,18.49,18.61,18.35,18.6,637700
2020-10-08T16:00:00Z,18.59,18.62,18.44,18.46,463500
2020-10-08T17:00:00Z,18.46,18.48,18.37,18.38,524300
2020-10-08T18:00:00Z,18.39,18.49,18.29,18.39,1227000
2020-10-08T19:00:00Z,18.38,18.52,18.35,18.43,978100
2020-10-09T13:00:00Z,18.36,18.42,18.11,18.34,809500
2020-10-09T14:00:00Z,18.33,18.35,18.18,18.24,1155000
2020-10-09T15:00:00Z,18.24,18.34,18.09,18.23,1836200
2020-10-09T16:00:00Z,18.22,18.22,18,18.05,2624500
2020-10-09T17:00:00Z,18.04,18.07,18,18.01,1723600
2020-10-09T18:00:00Z,18.01,18.05,17.78,17.8,3161700
2020-10-09T19:00:00Z,17.79,18.01,17.74,17.95,5798100
2020-10-13T13:00:00Z,18.02,18.38,17.96,18.29,1677900
2020-10-13T14:00:00Z,18.28,18.36,18.02,18.07,1176200
2020-10-13T15:00:00Z,18.06,18.13,17.97,18.05,1288300
2020-10-13T16:00:00Z,18.05,18.2,18.02,18.2,1993100
2020-10-13T17:00:00Z,18.2,18.28,18.13,18.14,1325000
2020-10-13T18:00:00Z,18.14,18.15,17.98,18,1000400
2020-10-13T19:00:00Z,17.99,18.07,17.96,18.04,1147400
2020-10-14T13:00:00Z,18.13,18.38,18.02,18.31,1162200
2020-10-14T14:00:00Z,18.31,18.69,18.28,18.62,3000300
2020-10-14T15:00:00Z,18.61,18.64,18.48,18.5,2704200
2020-10-14T16:00:00Z,18.5,18.88,18.4,18.85,1947800
2020-10-14T17:00:00Z,18.85,18.98,18.71,18.95,2320600
2020-10-14T18:00:00Z,18.94,19,18.79,18.98,1359000
2020-10-14T19:00:00Z,18.97,19.1,18.87,19.06,2362900
2020-10-15T13:00:00Z,18.74,18.89,18.58,18.79,1324700
2020-10-15T14:00:00Z,18.79,18.99,18.57,18.66,1438000
2020-10-15T15:00:00Z,18.66,18.74,18.57,18.73,1218500
2020-10-15T16:00:00Z,18.73,18.93,18.7,18.92,1191300
2020-10-15T17:00:00Z,18.92,18.94,18.75,18.94,1446700
2020-10-15T18:00:00Z,18.94,18.99,18.88,18.96,1700500
2020-10-15T19:00:00Z,18.96,19.14,18.93,19.05,4081100
2020-10-16T13:00:00Z,18.94,18.94,18.59,18.77,1237800
2020-10-16T14:00:00Z,18.76,18.79,18.43,18.47,1510000
2020-10-16T15:00:00Z,18.47,18.54,18.4,18.52,1898900
2020-10-16T16:00:00Z,18.52,18.63,18.49,18.61,1089800
2020-10-16T17:00:00Z,18.62,18.65,18.54,18.54,1151700
2020-10-16T18:00:00Z,18.55,18.82,18.53,18.71,1775000
2020-10-16T19:00:00Z,18.71,18.86,18.64,18.83,1804400
2020-10-19T13:00:00Z,18.59,18.95,18.55,18.92,1124800
2020-10-19T14:00:00Z,18.93,18.94,18.62,18.64,724800
2020-10-19T15:00:00Z,18.64,18.75,18.58,18.73,689500
2020-10-19T16:00:00Z,18.73,18.85,18.7,18.73,762400
2020-10-19T17:00:00Z,18.75,18.83,18.72,18.74,909000
2020-10-19T18:00:00Z,18.73,18.74,18.52,18.53,1101700
2020-10-19T19:00:00Z,18.53,18.7,18.53,18.68,974600
2020-10-20T13:00:00Z,18.81,18.89,18.55,18.59,624400
2020-10-20T14:00:00Z,18.59,18.68,18.49,18.49,670700
2020-10-20T15:00:00Z,18.48,18.55,18.42,18.51,692400
2020-10-20T16:00:00Z,18.5,18.61,18.45,18.5,617400
2020-10-20T17:00:00Z,18.5,18.57,18.46,18.5,790600
2020-10-20T18:00:00Z,18.51,18.57,18.46,18.55,659200
2020-10-20T19:00:00Z,18.55,18.6,18.5,18.58,1045300
2020-10-21T13:00:00Z,18.57,18.64,18.33,18.43,995400
2020-10-21T14:00:00Z,18.44,18.48,18.35,18.47,765200
2020-10-21T15:00:00Z,18.48,18.48,18.26,18.32,444200
2020-10-21T16:00:00Z,18.33,18.45,18.28,18.3,601000
2020-10-21T17:00:00Z,18.31,18.36,18.22,18.28,749200
2020-10-21T18:00:00Z,18.27,18.34,18.26,18.3,602400
2020-10-21T19:00:00Z,18.31,18.34,18.23,18.34,842700
2020-10-22T13:00:00Z,18.3,18.34,18.06,18.19,956400
2020-10-22T14:00:00Z,18.2,18.31,18.1,18.28,1068200
2020-10-22T15:00:00Z,18.28,18.45,18.25,18.42,748500
2020-10-22T16:00:00Z,18.42,18.51,18.38,18.5,648700
2020-10-22T17:00:00Z,18.5,18.57,18.43,18.51,619500
2020-10-22T18:00:00Z,18.51,18.61,18.49,18.52,1024100
2020-10-22T19:00:00Z,18.53,18.55,18.45,18.55,722400
2020-10-23T13:00:00Z,18.47,18.63,18.41,18.54,1030900
2020-10-23T14:00:00Z,18.53,18.53,18.36,18.4,651100
2020-10-23T15:00:00Z,18.4,18.42,18.3,18.33,592900
2020-10-23T16:00:00Z,18.32,18.37,18.3,18.32,406300
2020-10-23T17:00:00Z,18.32,18.44,18.32,18.41,580000
2020-10-23T18:00:00Z,18.41,18.43,18.35,18.35,595700
2020-10-23T19:00:00Z,18.35,18.37,18.09,18.09,1172000
2020-10-26T13:00:00Z,18.13,18.23,18.07,18.18,710400
2020-10-26T14:00:00Z,18.17,18.22,18.09,18.19,1001900
2020-10-26T15:00:00Z,18.19,18.27,18.16,18.23,1075600
2020-10-26T16:00:00Z,18.22,18.23,17.9,17.91,747800
2020-10-26T17:00:00Z,17.91,17.98,17.87,17.97,652500
2020-10-26T18:00:00Z,17.97,18.06,17.93,18.01,516300
2020-10-26T19:00:00Z,18.01,18.1,17.99,18.04,1098600
2020-10-27T13:00:00Z,18.09,18.13,17.92,17.93,536700
2020-10-27T14:00:00Z,17.94,18.12,17.88,18,1250700
2020-10-27T15:00:00Z,18.01,18.24,17.99,18.19,1131800
2020-10-27T16:00:00Z,18.18,18.19,18.05,18.14,779700
2020-10-27T17:00:00Z,18.15,18.17,18.1,18.14,714400
2020-10-27T18:00:00Z,18.15,18.17,17.98,18.03,1714300
2020-10-27T19:00:00Z,18.04,18.16,18.01,18.11,1586800
2020-10-28T13:00:00Z,17.75,17.89,17.5,17.84,1005800
2020-10-28T14:00:00Z,17.84,17.92,17.75,17.92,1047800
2020-10-28T15:00:00Z,17.92,18,17.8,17.96,1130500
2020-10-28T16:00:00Z,17.95,17.99,17.86,17.88,707900
2020-10-28T17:00:00Z,17.87,17.91,17.75,17.89,1108100
