time,open,high,low,close,Volume
2020-09-23T16:00:00Z,46.05,46.78,46.03,46.78,555600
2020-09-23T17:00:00Z,46.77,47.05,46.61,46.9,445200
2020-09-23T18:00:00Z,46.89,46.92,46.53,46.66,572900
2020-09-23T19:00:00Z,46.68,47.38,46.53,46.82,731900
2020-09-24T13:00:00Z,46.53,46.86,45.38,45.98,861600
2020-09-24T14:00:00Z,46.01,46.78,45.96,46.42,553300
2020-09-24T15:00:00Z,46.43,46.65,46.22,46.62,372200
2020-09-24T16:00:00Z,46.63,46.84,46.45,46.72,302400
2020-09-24T17:00:00Z,46.7,47.07,46.61,46.85,407000
2020-09-24T18:00:00Z,46.83,46.89,45.83,45.91,754600
2020-09-24T19:00:00Z,45.93,46.16,45.8,45.98,546800
2020-09-25T13:00:00Z,46.91,47.11,46.08,46.8,1527100
2020-09-25T14:00:00Z,46.79,46.82,46.21,46.35,570200
2020-09-25T15:00:00Z,46.36,46.67,46.22,46.62,319200
2020-09-25T16:00:00Z,46.64,47.96,46.63,47.86,880300
2020-09-25T17:00:00Z,47.88,48.24,47.6,47.9,931000
2020-09-25T18:00:00Z,47.9,48.07,47.3,47.98,646200
2020-09-25T19:00:00Z,47.99,48.19,47.85,48.18,941800
2020-09-28T13:00:00Z,48.08,49.23,47.9,48.12,1095500
2020-09-28T14:00:00Z,48.11,48.59,47.55,47.67,805800
2020-09-28T15:00:00Z,47.67,48.03,47.44,47.54,780300
2020-09-28T16:00:00Z,47.54,47.67,46.85,47.18,1064300
2020-09-28T17:00:00Z,47.19,47.4,46.33,47.28,1356900
2020-09-28T18:00:00Z,47.28,48.04,47.22,47.45,1341800
2020-09-28T19:00:00Z,47.41,47.66,47.32,47.63,1190100
2020-09-29T13:00:00Z,47.1,48.92,47.02,48.55,1525600
2020-09-29T14:00:00Z,48.54,48.89,48.26,48.67,1076500
2020-09-29T15:00:00Z,48.64,48.72,47.74,47.77,834700
2020-09-29T16:00:00Z,47.77,47.99,47.29,47.9,810300
2020-09-29T17:00:00Z,47.9,47.9,47.06,47.26,766300
2020-09-29T18:00:00Z,47.26,47.45,47.06,47.23,654300
2020-09-29T19:00:00Z,47.23,47.4,47.1,47.11,621000
2020-09-30T13:00:00Z,47.03,47.7,46.73,47.3,578300
2020-09-30T14:00:00Z,47.34,47.43,46.46,46.46,576000
2020-09-30T15:00:00Z,46.47,46.77,45.64,45.77,960400
2020-09-30T16:00:00Z,45.77,45.99,45.51,45.64,1636300
2020-09-30T17:00:00Z,45.66,45.88,45.53,45.62,466300
2020-09-30T18:00:00Z,45.63,46.25,45.62,46.19,1127600
2020-09-30T19:00:00Z,46.18,46.22,45.37,45.37,1141500
2020-10-01T13:00:00Z,45.6,45.9,45.07,45.33,956000
2020-10-01T14:00:00Z,45.3,46.38,45.18,46.14,1679800
2020-10-01T15:00:00Z,46.15,46.35,46.01,46.29,647500
2020-10-01T16:00:00Z,46.3,46.61,46.19,46.24,682200
2020-10-01T17:00:00Z,46.25,46.35,46.02,46.04,941600
2020-10-01T18:00:00Z,46.05,46.88,45.88,46.79,1143200
2020-10-01T19:00:00Z,46.78,47,46.22,46.45,1500600
2020-10-02T13:00:00Z,46.79,47.45,46.11,46.64,6156100
