time,open,high,low,close,Volume
2019-02-01T13:00:00Z,46.1,46.29,45.75,46.03,2622500
2019-02-01T14:00:00Z,46.03,46.18,45.81,45.94,2854000
2019-02-01T15:00:00Z,45.94,46.2,45.88,45.93,2373000
2019-02-01T16:00:00Z,45.93,45.95,45.59,45.93,2304900
2019-02-01T17:00:00Z,45.93,46.15,45.79,46.09,2470700
2019-02-01T18:00:00Z,46.09,46.15,45.93,46.15,2057500
2019-02-01T19:00:00Z,46.15,46.25,46.1,46.15,1788900
2019-02-04T12:00:00Z,46,46.1,45.55,45.6,1996500
2019-02-04T13:00:00Z,45.59,45.85,45.2,45.29,2437700
2019-02-04T14:00:00Z,45.29,45.29,44.46,44.73,7226100
2019-02-04T15:00:00Z,44.74,44.75,44.5,44.51,3822700
2019-02-04T16:00:00Z,44.5,44.61,44.21,44.3,4427800
2019-02-04T17:00:00Z,44.3,44.56,44.05,44.42,4766600
2019-02-04T18:00:00Z,44.42,44.51,44.26,44.42,3326100
2019-02-04T19:00:00Z,44.4,44.44,44.15,44.44,5535300
2019-02-05T12:00:00Z,44.45,45.15,43.81,45.11,5061500
2019-02-05T13:00:00Z,45.11,45.21,44.61,44.72,2086500
2019-02-05T14:00:00Z,44.72,44.91,44.4,44.47,2307100
2019-02-05T15:00:00Z,44.48,44.61,44.17,44.4,1815000
2019-02-05T16:00:00Z,44.39,44.57,44.37,44.48,1191300
2019-02-05T17:00:00Z,44.49,44.55,44.25,44.27,2595000
2019-02-05T18:00:00Z,44.27,44.45,44.13,44.42,2091300
2019-02-05T19:00:00Z,44.4,44.79,44.38,44.71,3559500
2019-02-06T12:00:00Z,44,44.28,43.73,43.88,3425300
2019-02-06T13:00:00Z,43.88,44.4,43.83,44.02,2182200
2019-02-06T14:00:00Z,44.03,44.35,43.91,44.3,2047000
2019-02-06T15:00:00Z,44.28,44.33,44.03,44.29,1211400
2019-02-06T16:00:00Z,44.29,44.4,44.13,44.23,2463100
2019-02-06T17:00:00Z,44.23,44.36,44.17,44.25,1911500
2019-02-06T18:00:00Z,44.26,44.29,42.95,43.08,9372800
2019-02-06T19:00:00Z,43.08,43.16,42.79,42.83,2637100
2019-02-07T12:00:00Z,42.15,42.79,41.7,42.73,5591100
2019-02-07T13:00:00Z,42.72,42.74,42.12,42.28,2221800
2019-02-07T14:00:00Z,42.28,42.46,42.01,42.39,2968600
2019-02-07T15:00:00Z,42.39,42.45,41.7,41.75,3128300
2019-02-07T16:00:00Z,41.73,41.86,41.38,41.51,5566100
2019-02-07T17:00:00Z,41.48,41.9,41.39,41.8,3627000
2019-02-07T18:00:00Z,41.8,42.07,41.46,41.5,4050500
2019-02-07T19:00:00Z,41.48,41.64,41.21,41.44,3148300
2019-02-08T12:00:00Z,40.64,41.34,40.51,40.69,5472900
2019-02-08T13:00:00Z,40.68,41.1,40.6,40.8,4488700
2019-02-08T14:00:00Z,40.81,41.06,40.8,40.88,5238400
2019-02-08T15:00:00Z,40.88,41.1,40.75,40.98,3450200
2019-02-08T16:00:00Z,41,42.59,40.91,42.35,6769700
2019-02-08T17:00:00Z,42.31,43.46,42.12,43.3,7636600
2019-02-08T18:00:00Z,43.29,43.54,42.68,43.29,5872800
2019-02-08T19:00:00Z,43.28,43.59,43.14,43.51,5369600
2019-02-11T12:00:00Z,43.86,44.05,43.24,43.43,3994600
2019-02-11T13:00:00Z,43.41,43.56,42.83,43.36,3444000
2019-02-11T14:00:00Z,43.36,43.59,42.03,42.17,6446800
2019-02-11T15:00:00Z,42.17,42.42,42.06,42.38,2666100
2019-02-11T16:00:00Z,42.38,42.5,42.07,42.14,2865900
2019-02-11T17:00:00Z,42.13,42.39,41.89,42.3,3826700
2019-02-11T18:00:00Z,42.29,42.44,42.27,42.34,1865600
